Time,Phoenix,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:54.0, ,65-72,Defensive rebound by D. White,,3,72,65,7,1566.0
9:51.0, ,65-72,D. White misses 3-pt jump shot from 26 ft,,3,72,65,7,1569.0
9:48.0,Defensive rebound by K. Durant,65-72, ,,3,72,65,7,1572.0
9:40.0,Turnover by K. Durant (lost ball; steal by D. White),65-72, ,,3,72,65,7,1580.0
9:39.0, ,65-72,Shooting foul by D. Booker (drawn by J. Brown),,3,72,65,7,1581.0
9:39.0, ,65-73,J. Brown makes free throw 1 of 2,,3,73,65,8,1581.0
9:39.0, ,65-74,J. Brown makes free throw 2 of 2,,3,74,65,9,1581.0
9:30.0,K. Durant misses 2-pt jump shot from 16 ft,65-74, ,,3,74,65,9,1590.0
9:27.0, ,65-74,Defensive rebound by J. Brown,,3,74,65,9,1593.0
9:19.0, ,65-74,J. Brown misses 2-pt jump shot from 14 ft,,3,74,65,9,1601.0
9:17.0,Defensive rebound by J. Nurkić,65-74, ,,3,74,65,9,1603.0
9:11.0,K. Durant misses 3-pt jump shot from 28 ft,65-74, ,,3,74,65,9,1609.0
9:07.0, ,65-74,Defensive rebound by D. White,,3,74,65,9,1613.0
8:50.0, ,65-77,D. White makes 3-pt jump shot from 26 ft (assist by J. Holiday),,3,77,65,12,1630.0
8:49.0,Phoenix full timeout,65-77, ,,3,77,65,12,1631.0
8:36.0,Turnover by B. Beal (bad pass; steal by J. Holiday),65-77, ,,3,77,65,12,1644.0
8:31.0, ,65-79,J. Tatum makes 2-pt layup from 3 ft (assist by J. Holiday),,3,79,65,14,1649.0
8:16.0,B. Beal makes 2-pt layup from 3 ft,67-79, ,,3,79,67,12,1664.0
8:04.0, ,67-79,J. Tatum misses 3-pt jump shot from 28 ft,,3,79,67,12,1676.0
8:02.0,Defensive rebound by J. Nurkić,67-79, ,,3,79,67,12,1678.0
7:50.0,G. Allen makes 3-pt jump shot from 27 ft (assist by K. Durant),70-79, ,,3,79,70,9,1690.0
7:29.0, ,70-79,D. White misses 2-pt jump shot from 10 ft,,3,79,70,9,1711.0
7:27.0,Defensive rebound by J. Nurkić,70-79, ,,3,79,70,9,1713.0
7:13.0,J. Nurkić misses 2-pt layup from 6 ft (block by D. White),70-79, ,,3,79,70,9,1727.0
7:11.0, ,70-79,Defensive rebound by J. Brown,,3,79,70,9,1729.0
6:48.0, ,70-79,Turnover by Team (shot clock),,3,79,70,9,1752.0
6:35.0,J. Nurkić makes 2-pt layup from 3 ft (assist by D. Booker),72-79, ,,3,79,72,7,1765.0
6:11.0, ,72-82,J. Brown makes 3-pt jump shot from 24 ft (assist by D. White),,3,82,72,10,1789.0
5:56.0,Turnover by B. Beal (lost ball; steal by J. Holiday),72-82, ,,3,82,72,10,1804.0
5:52.0, ,72-85,J. Holiday makes 3-pt jump shot from 25 ft,,3,85,72,13,1808.0
5:50.0,Phoenix full timeout,72-85, ,,3,85,72,13,1810.0
5:50.0,Technical foul by F. Vogel,72-85, ,,3,85,72,13,1810.0
5:50.0, ,72-85,S. Hauser enters the game for J. Brown,,3,85,72,13,1810.0
5:50.0, ,72-85,X. Tillman enters the game for D. White,,3,85,72,13,1810.0
5:50.0, ,72-86,J. Tatum makes technical free throw,,3,86,72,14,1810.0
5:40.0,K. Durant makes 2-pt jump shot from 18 ft (assist by B. Beal),74-86, ,,3,86,74,12,1820.0
5:23.0, ,74-89,S. Hauser makes 3-pt jump shot from 25 ft (assist by A. Horford),,3,89,74,15,1837.0
5:11.0,Shooting foul by J. Tatum (drawn by K. Durant),74-89, ,,3,89,74,15,1849.0
5:11.0,K. Durant misses free throw 1 of 2,74-89, ,,3,89,74,15,1849.0
5:11.0,Offensive rebound by Team,74-89, ,,3,89,74,15,1849.0
5:11.0,R. O'Neale enters the game for B. Beal,74-89, ,,3,89,74,15,1849.0
5:11.0,K. Durant makes free throw 2 of 2,75-89, ,,3,89,75,14,1849.0
4:53.0, ,75-89,J. Holiday misses 3-pt jump shot from 26 ft (block by K. Durant),,3,89,75,14,1867.0
4:49.0, ,75-89,Offensive rebound by X. Tillman,,3,89,75,14,1871.0
4:48.0, ,75-89,S. Hauser misses 3-pt jump shot from 26 ft,,3,89,75,14,1872.0
4:46.0,Defensive rebound by J. Nurkić,75-89, ,,3,89,75,14,1874.0
4:32.0,Turnover by J. Nurkić (lost ball; steal by A. Horford),75-89, ,,3,89,75,14,1888.0
4:16.0, ,75-89,A. Horford misses 3-pt jump shot from 27 ft,,3,89,75,14,1904.0
4:14.0,Defensive rebound by K. Durant,75-89, ,,3,89,75,14,1906.0
4:10.0,D. Booker misses 3-pt jump shot from 26 ft,75-89, ,,3,89,75,14,1910.0
4:08.0, ,75-89,Defensive rebound by J. Tatum,,3,89,75,14,1912.0
3:49.0, ,75-89,J. Tatum misses 2-pt jump shot from 20 ft,,3,89,75,14,1931.0
3:47.0, ,75-89,Offensive rebound by A. Horford,,3,89,75,14,1933.0
3:40.0, ,75-92,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Holiday),,3,92,75,17,1940.0
3:17.0,K. Durant misses 2-pt layup from 3 ft,75-92, ,,3,92,75,17,1963.0
3:15.0, ,75-92,Defensive rebound by A. Horford,,3,92,75,17,1965.0
3:11.0, ,75-92,S. Hauser misses 2-pt layup from 4 ft,,3,92,75,17,1969.0
3:09.0,Defensive rebound by J. Nurkić,75-92, ,,3,92,75,17,1971.0
3:00.0,Shooting foul by X. Tillman (drawn by J. Nurkić),75-92, ,,3,92,75,17,1980.0
3:00.0,J. Nurkić misses free throw 1 of 2,75-92, ,,3,92,75,17,1980.0
3:00.0,Offensive rebound by Team,75-92, ,,3,92,75,17,1980.0
3:00.0,J. Nurkić misses free throw 2 of 2,75-92, ,,3,92,75,17,1980.0
3:00.0, ,75-92,Defensive rebound by X. Tillman,,3,92,75,17,1980.0
