Time,Phoenix,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:57.0, ,58-62,Defensive rebound by D. White,,2,62,58,4,1383.0
0:47.0, ,58-65,J. Tatum makes 3-pt jump shot from 25 ft,,2,65,58,7,1393.0
0:34.0,K. Durant misses 3-pt jump shot from 28 ft,58-65, ,,2,65,58,7,1406.0
0:30.0,Offensive rebound by I. Wainright,58-65, ,,2,65,58,7,1410.0
0:23.0,D. Booker makes 2-pt jump shot from 13 ft (assist by B. Beal),60-65, ,,2,65,60,5,1417.0
0:03.0, ,60-65,Turnover by J. Tatum (bad pass; steal by B. Beal),,2,65,60,5,1437.0
0:00.0,End of 2nd quarter,60-65,,,2,65,60,5,1440.0
12:00.0,Start of 3rd quarter,60-65,,,3,65,60,5,1440.0
11:46.0, ,60-65,J. Tatum misses 2-pt layup from 7 ft,,3,65,60,5,1454.0
11:43.0, ,60-65,Offensive rebound by A. Horford,,3,65,60,5,1457.0
11:42.0, ,60-68,J. Brown makes 3-pt jump shot from 26 ft (assist by A. Horford),,3,68,60,8,1458.0
11:16.0,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Nurkić),63-68, ,,3,68,63,5,1484.0
11:08.0, ,63-68,Turnover by J. Brown (out of bounds lost ball),,3,68,63,5,1492.0
11:00.0,D. Booker makes 2-pt jump shot from 11 ft,65-68, ,,3,68,65,3,1500.0
10:44.0, ,65-68,Shooting foul by G. Allen (drawn by A. Horford),,3,68,65,3,1516.0
10:44.0, ,65-69,A. Horford makes free throw 1 of 2,,3,69,65,4,1516.0
10:44.0, ,65-70,A. Horford makes free throw 2 of 2,,3,70,65,5,1516.0
10:29.0,K. Durant misses 2-pt jump shot from 17 ft,65-70, ,,3,70,65,5,1531.0
10:25.0,Offensive rebound by J. Nurkić,65-70, ,,3,70,65,5,1535.0
10:15.0,D. Booker misses 2-pt jump shot from 13 ft,65-70, ,,3,70,65,5,1545.0
10:11.0, ,65-70,Defensive rebound by J. Brown,,3,70,65,5,1549.0
10:06.0, ,65-72,D. White makes 2-pt layup from 6 ft (assist by J. Tatum),,3,72,65,7,1554.0
9:55.0,B. Beal misses 2-pt layup from 6 ft,65-72, ,,3,72,65,7,1565.0
