Time,Boston,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:41.0, ,75-64,Defensive rebound by A. Thompson,,3,75,64,11,1639.0
8:30.0, ,75-64,D. Brooks misses 3-pt jump shot from 25 ft,,3,75,64,11,1650.0
8:28.0, ,75-64,Offensive rebound by A. Sengun,,3,75,64,11,1652.0
8:26.0, ,75-64,C. Whitmore misses 3-pt jump shot from 26 ft,,3,75,64,11,1654.0
8:24.0,Defensive rebound by J. Brown,75-64, ,,3,75,64,11,1656.0
8:09.0,J. Tatum misses 2-pt layup from 3 ft,75-64, ,,3,75,64,11,1671.0
8:08.0, ,75-64,Defensive rebound by A. Thompson,,3,75,64,11,1672.0
8:02.0, ,75-66,A. Sengun makes 2-pt layup from 3 ft (assist by J. Green),,3,75,66,9,1678.0
8:01.0,Boston full timeout,75-66, ,,3,75,66,9,1679.0
8:01.0,P. Pritchard enters the game for D. White,75-66, ,,3,75,66,9,1679.0
7:47.0,J. Brown makes 3-pt jump shot from 25 ft (assist by K. Porziņģis),78-66, ,,3,78,66,12,1693.0
7:31.0, ,78-66,C. Whitmore misses 3-pt jump shot from 23 ft,,3,78,66,12,1709.0
7:31.0,Defensive rebound by J. Brown,78-66, ,,3,78,66,12,1709.0
7:14.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by J. Brown),81-66, ,,3,81,66,15,1726.0
6:57.0, ,81-66,A. Thompson misses 3-pt jump shot from 24 ft,,3,81,66,15,1743.0
6:56.0,Defensive rebound by J. Tatum,81-66, ,,3,81,66,15,1744.0
6:50.0,J. Brown makes 2-pt layup from 2 ft (assist by J. Tatum),83-66, ,,3,83,66,17,1750.0
6:34.0, ,83-66,J. Green misses 2-pt jump shot from 12 ft (block by K. Porziņģis),,3,83,66,17,1766.0
6:33.0, ,83-66,Offensive rebound by A. Thompson,,3,83,66,17,1767.0
6:31.0, ,83-68,A. Thompson makes 2-pt layup from 2 ft,,3,83,68,15,1769.0
6:23.0,Offensive foul by K. Porziņģis (drawn by D. Brooks),83-68, ,,3,83,68,15,1777.0
6:23.0,Turnover by K. Porziņģis (offensive foul),83-68, ,,3,83,68,15,1777.0
6:23.0,L. Kornet enters the game for K. Porziņģis,83-68, ,,3,83,68,15,1777.0
6:23.0, ,83-68,A. Holiday enters the game for C. Whitmore,,3,83,68,15,1777.0
6:09.0, ,83-70,A. Sengun makes 2-pt jump shot from 11 ft (assist by J. Green),,3,83,70,13,1791.0
5:54.0,J. Tatum misses 3-pt jump shot from 25 ft,83-70, ,,3,83,70,13,1806.0
5:53.0, ,83-70,Defensive rebound by A. Holiday,,3,83,70,13,1807.0
5:42.0, ,83-73,D. Brooks makes 3-pt jump shot from 24 ft (assist by A. Sengun),,3,83,73,10,1818.0
5:27.0,Turnover by J. Brown (lost ball; steal by J. Green),83-73, ,,3,83,73,10,1833.0
5:24.0, ,83-75,J. Green makes 2-pt layup from 2 ft,,3,83,75,8,1836.0
5:24.0, ,83-75,Shooting foul by L. Kornet (drawn by J. Green),,3,83,75,8,1836.0
5:24.0, ,83-75,J. Tate enters the game for D. Brooks,,3,83,75,8,1836.0
5:24.0, ,83-75,J. Green misses free throw 1 of 1,,3,83,75,8,1836.0
5:24.0,Defensive rebound by J. Brown,83-75, ,,3,83,75,8,1836.0
5:02.0,J. Tatum misses 3-pt jump shot from 23 ft,83-75, ,,3,83,75,8,1858.0
5:01.0, ,83-75,Defensive rebound by J. Green,,3,83,75,8,1859.0
4:47.0, ,83-75,Turnover by A. Holiday (step out of bounds),,3,83,75,8,1873.0
4:35.0,S. Hauser misses 3-pt jump shot from 23 ft,83-75, ,,3,83,75,8,1885.0
4:34.0, ,83-75,Defensive rebound by A. Sengun,,3,83,75,8,1886.0
4:26.0, ,83-75,Turnover by A. Sengun (lost ball; steal by J. Brown),,3,83,75,8,1894.0
4:18.0,S. Hauser misses 3-pt jump shot from 23 ft,83-75, ,,3,83,75,8,1902.0
4:18.0, ,83-75,Defensive rebound by A. Sengun,,3,83,75,8,1902.0
4:06.0, ,83-75,Turnover by A. Sengun (lost ball; steal by P. Pritchard),,3,83,75,8,1914.0
3:58.0,Turnover by S. Hauser (bad pass; steal by A. Sengun),83-75, ,,3,83,75,8,1922.0
3:56.0, ,83-77,J. Tate makes 2-pt layup from 3 ft (assist by A. Sengun),,3,83,77,6,1924.0
3:26.0,P. Pritchard misses 3-pt jump shot from 27 ft,83-77, ,,3,83,77,6,1954.0
3:25.0,Offensive rebound by L. Kornet,83-77, ,,3,83,77,6,1955.0
3:21.0,Personal foul by A. Sengun (drawn by L. Kornet),83-77, ,,3,83,77,6,1959.0
3:21.0,O. Brissett enters the game for S. Hauser,83-77, ,,3,83,77,6,1959.0
3:21.0,D. White enters the game for J. Tatum,83-77, ,,3,83,77,6,1959.0
3:21.0, ,83-77,D. Brooks enters the game for J. Green,,3,83,77,6,1959.0
3:03.0,O. Brissett misses 3-pt jump shot from 26 ft,83-77, ,,3,83,77,6,1977.0
3:03.0, ,83-77,Defensive rebound by A. Holiday,,3,83,77,6,1977.0
2:45.0, ,83-77,Turnover by A. Holiday (bad pass; steal by L. Kornet),,3,83,77,6,1995.0
2:41.0,L. Kornet makes 2-pt dunk from 1 ft (assist by J. Brown),85-77, ,,3,85,77,8,1999.0
2:41.0, ,85-77,Houston full timeout,,3,85,77,8,1999.0
2:41.0, ,85-77,J. Williams enters the game for A. Thompson,,3,85,77,8,1999.0
2:25.0, ,85-80,A. Holiday makes 3-pt jump shot from 25 ft (assist by A. Sengun),,3,85,80,5,2015.0
2:04.0,D. White misses 2-pt jump shot from 14 ft,85-80, ,,3,85,80,5,2036.0
2:02.0,Offensive rebound by L. Kornet,85-80, ,,3,85,80,5,2038.0
1:59.0,P. Pritchard misses 3-pt jump shot from 26 ft,85-80, ,,3,85,80,5,2041.0
