Time,Dallas,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:18.0, ,30-37,J. Tatum makes free throw 1 of 2,,1,37,30,7,702.0
0:18.0,K. Irving enters the game for D. Gafford,30-37, ,,1,37,30,7,702.0
0:18.0, ,30-38,J. Tatum makes free throw 2 of 2,,1,38,30,8,702.0
0:01.0,L. Dončić makes 2-pt jump shot from 8 ft,32-38, ,,1,38,32,6,719.0
0:00.0, ,32-38,P. Pritchard misses 3-pt jump shot from 59 ft,,1,38,32,6,720.0
0:00.0, ,32-38,Offensive rebound by Team,,1,38,32,6,720.0
0:00.0,End of 1st quarter,32-38,,,1,38,32,6,720.0
12:00.0,Start of 2nd quarter,32-38,,,2,38,32,6,720.0
11:43.0, ,32-41,J. Holiday makes 3-pt jump shot from 23 ft (assist by J. Tatum),,2,41,32,9,737.0
11:16.0,Turnover by Team (shot clock),32-41, ,,2,41,32,9,764.0
11:05.0, ,32-41,A. Horford misses 3-pt jump shot from 27 ft,,2,41,32,9,775.0
11:04.0,Defensive rebound by J. Green,32-41, ,,2,41,32,9,776.0
10:54.0,T. Hardaway makes 2-pt layup from 2 ft,34-41, ,,2,41,34,7,786.0
10:40.0, ,34-44,P. Pritchard makes 3-pt jump shot from 23 ft (assist by A. Horford),,2,44,34,10,800.0
10:27.0,L. Dončić misses 3-pt jump shot from 27 ft,34-44, ,,2,44,34,10,813.0
10:26.0,Offensive rebound by Team,34-44, ,,2,44,34,10,814.0
10:26.0,D. Lively enters the game for M. Kleber,34-44, ,,2,44,34,10,814.0
10:19.0,L. Dončić makes 2-pt jump shot from 8 ft,36-44, ,,2,44,36,8,821.0
10:19.0,Shooting foul by P. Pritchard (drawn by L. Dončić),36-44, ,,2,44,36,8,821.0
10:19.0,L. Dončić misses free throw 1 of 1,36-44, ,,2,44,36,8,821.0
10:19.0, ,36-44,Defensive rebound by A. Horford,,2,44,36,8,821.0
10:01.0, ,36-44,J. Holiday misses 2-pt jump shot from 9 ft,,2,44,36,8,839.0
10:00.0,Defensive rebound by L. Dončić,36-44, ,,2,44,36,8,840.0
9:53.0,T. Hardaway misses 3-pt jump shot from 26 ft,36-44, ,,2,44,36,8,847.0
9:52.0, ,36-44,Defensive rebound by A. Horford,,2,44,36,8,848.0
9:37.0, ,36-46,A. Horford makes 2-pt dunk at rim (assist by J. Tatum),,2,46,36,10,863.0
9:14.0,Turnover by D. Jones (bad pass; steal by J. Holiday),36-46, ,,2,46,36,10,886.0
9:11.0, ,36-48,X. Tillman makes 2-pt layup from 2 ft (assist by J. Holiday),,2,48,36,12,889.0
8:49.0,D. Jones misses 2-pt layup from 4 ft,36-48, ,,2,48,36,12,911.0
8:48.0, ,36-48,Defensive rebound by J. Tatum,,2,48,36,12,912.0
8:42.0, ,36-48,Turnover by J. Tatum (bad pass),,2,48,36,12,918.0
8:42.0,K. Irving enters the game for T. Hardaway,36-48, ,,2,48,36,12,918.0
8:42.0,P. Washington enters the game for D. Jones,36-48, ,,2,48,36,12,918.0
8:42.0, ,36-48,J. Brown enters the game for A. Horford,,2,48,36,12,918.0
8:30.0,K. Irving misses 3-pt jump shot from 26 ft,36-48, ,,2,48,36,12,930.0
8:28.0,Offensive rebound by Team,36-48, ,,2,48,36,12,932.0
8:28.0,Dallas full timeout,36-48, ,,2,48,36,12,932.0
8:28.0,Instant Replay (Challenge: Ruling Stands),36-48, ,,2,48,36,12,932.0
8:20.0,D. Lively makes 2-pt dunk from 3 ft (assist by L. Dončić),38-48, ,,2,48,38,10,940.0
7:58.0, ,38-48,P. Pritchard misses 3-pt jump shot from 23 ft,,2,48,38,10,962.0
7:57.0,Defensive rebound by D. Lively,38-48, ,,2,48,38,10,963.0
7:43.0,K. Irving misses 2-pt jump shot from 6 ft,38-48, ,,2,48,38,10,977.0
7:42.0, ,38-48,Defensive rebound by J. Tatum,,2,48,38,10,978.0
7:35.0, ,38-48,Turnover by J. Tatum (bad pass; steal by D. Lively),,2,48,38,10,985.0
7:28.0,J. Green misses 3-pt jump shot from 24 ft,38-48, ,,2,48,38,10,992.0
7:27.0,Offensive rebound by L. Dončić,38-48, ,,2,48,38,10,993.0
7:26.0,L. Dončić makes 2-pt layup from 1 ft,40-48, ,,2,48,40,8,994.0
7:09.0, ,40-48,J. Holiday misses 2-pt layup from 3 ft (block by D. Lively),,2,48,40,8,1011.0
7:08.0,Defensive rebound by L. Dončić,40-48, ,,2,48,40,8,1012.0
6:59.0,D. Lively makes 2-pt dunk from 2 ft (assist by L. Dončić),42-48, ,,2,48,42,6,1021.0
6:59.0, ,42-48,Boston full timeout,,2,48,42,6,1021.0
6:59.0, ,42-48,K. Porziņģis enters the game for P. Pritchard,,2,48,42,6,1021.0
6:59.0, ,42-48,D. White enters the game for X. Tillman,,2,48,42,6,1021.0
6:47.0, ,42-50,J. Tatum makes 2-pt jump shot from 14 ft,,2,50,42,8,1033.0
6:32.0,P. Washington makes 2-pt dunk from 1 ft (assist by L. Dončić),44-50, ,,2,50,44,6,1048.0
6:12.0, ,44-52,J. Tatum makes 2-pt jump shot from 9 ft,,2,52,44,8,1068.0
6:12.0, ,44-52,Shooting foul by J. Green (drawn by J. Tatum),,2,52,44,8,1068.0
6:12.0, ,44-53,J. Tatum makes free throw 1 of 1,,2,53,44,9,1068.0
6:00.0,Personal foul by K. Porziņģis (drawn by P. Washington),44-53, ,,2,53,44,9,1080.0
5:51.0,Turnover by L. Dončić (bad pass; steal by J. Brown),44-53, ,,2,53,44,9,1089.0
5:37.0, ,44-55,J. Tatum makes 2-pt jump shot from 13 ft,,2,55,44,11,1103.0
5:20.0,K. Irving makes 2-pt jump shot from 13 ft,46-55, ,,2,55,46,9,1120.0
5:05.0, ,46-57,J. Tatum makes 2-pt layup from 4 ft (assist by J. Brown),,2,57,46,11,1135.0
4:39.0,D. Lively makes 2-pt layup from 2 ft (assist by L. Dončić),48-57, ,,2,57,48,9,1161.0
4:29.0, ,48-57,Personal foul by P. Washington (drawn by J. Holiday),,2,57,48,9,1171.0
4:29.0,D. Exum enters the game for L. Dončić,48-57, ,,2,57,48,9,1171.0
4:29.0,M. Kleber enters the game for J. Green,48-57, ,,2,57,48,9,1171.0
4:29.0, ,48-57,A. Horford enters the game for J. Holiday,,2,57,48,9,1171.0
4:21.0, ,48-60,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by J. Brown),,2,60,48,12,1179.0
4:03.0,K. Irving misses 3-pt jump shot from 27 ft (block by D. White),48-60, ,,2,60,48,12,1197.0
4:02.0, ,48-60,Defensive rebound by J. Tatum,,2,60,48,12,1198.0
3:51.0, ,48-60,J. Tatum misses 2-pt layup from 4 ft,,2,60,48,12,1209.0
3:49.0,Defensive rebound by M. Kleber,48-60, ,,2,60,48,12,1211.0
3:41.0,D. Exum misses 2-pt layup from 3 ft,48-60, ,,2,60,48,12,1219.0
3:38.0, ,48-60,Defensive rebound by A. Horford,,2,60,48,12,1222.0
3:35.0, ,48-60,J. Brown misses 2-pt layup from 2 ft (block by P. Washington),,2,60,48,12,1225.0
3:34.0,Defensive rebound by P. Washington,48-60, ,,2,60,48,12,1226.0
3:16.0,D. Exum makes 2-pt layup from 6 ft (assist by D. Lively),50-60, ,,2,60,50,10,1244.0
2:59.0, ,50-60,K. Porziņģis misses 3-pt jump shot from 26 ft,,2,60,50,10,1261.0
2:57.0,Defensive rebound by M. Kleber,50-60, ,,2,60,50,10,1263.0
2:56.0,Turnover by M. Kleber (bad pass; steal by D. White),50-60, ,,2,60,50,10,1264.0
2:52.0, ,50-62,J. Brown makes 2-pt dunk from 4 ft (assist by A. Horford),,2,62,50,12,1268.0
2:51.0,Dallas full timeout,50-62, ,,2,62,50,12,1269.0
2:51.0,L. Dončić enters the game for D. Lively,50-62, ,,2,62,50,12,1269.0
2:28.0,L. Dončić misses 2-pt jump shot from 21 ft,50-62, ,,2,62,50,12,1292.0
2:26.0, ,50-62,Defensive rebound by J. Tatum,,2,62,50,12,1294.0
2:17.0, ,50-62,A. Horford misses 3-pt jump shot from 23 ft,,2,62,50,12,1303.0
2:15.0, ,50-62,Offensive rebound by K. Porziņģis,,2,62,50,12,1305.0
2:09.0, ,50-62,J. Tatum misses 3-pt jump shot from 27 ft,,2,62,50,12,1311.0
2:08.0,Defensive rebound by D. Exum,50-62, ,,2,62,50,12,1312.0
1:53.0,P. Washington makes 2-pt hook shot from 11 ft (assist by M. Kleber),52-62, ,,2,62,52,10,1327.0
1:23.0, ,52-64,J. Brown makes 2-pt layup from 5 ft (assist by K. Porziņģis),,2,64,52,12,1357.0
1:06.0,L. Dončić makes 3-pt jump shot from 28 ft,55-64, ,,2,64,55,9,1374.0
0:51.0, ,55-64,J. Brown misses 2-pt jump shot from 5 ft,,2,64,55,9,1389.0
0:49.0,Defensive rebound by L. Dončić,55-64, ,,2,64,55,9,1391.0
0:43.0,K. Irving makes 2-pt layup from 3 ft (assist by L. Dončić),57-64, ,,2,64,57,7,1397.0
0:35.0, ,57-64,D. White misses 3-pt jump shot from 26 ft,,2,64,57,7,1405.0
0:33.0, ,57-64,Offensive rebound by J. Brown,,2,64,57,7,1407.0
0:31.0, ,57-66,J. Brown makes 2-pt layup from 2 ft,,2,66,57,9,1409.0
0:26.0,P. Washington makes 2-pt layup from 3 ft (assist by L. Dončić),59-66, ,,2,66,59,7,1414.0
0:06.0, ,59-66,Offensive foul by J. Tatum (drawn by D. Exum),,2,66,59,7,1434.0
0:06.0, ,59-66,Turnover by J. Tatum (offensive foul),,2,66,59,7,1434.0
0:06.0, ,59-66,J. Holiday enters the game for K. Porziņģis,,2,66,59,7,1434.0
0:01.0,Personal take foul by D. White (drawn by L. Dončić),59-66, ,,2,66,59,7,1439.0
0:00.0,End of 2nd quarter,59-66,,,2,66,59,7,1440.0
12:00.0,Start of 3rd quarter,59-66,,,3,66,59,7,1440.0
11:47.0, ,59-66,K. Porziņģis misses 3-pt jump shot from 27 ft,,3,66,59,7,1453.0
11:45.0,Defensive rebound by L. Dončić,59-66, ,,3,66,59,7,1455.0
11:27.0,L. Dončić misses 3-pt jump shot from 26 ft,59-66, ,,3,66,59,7,1473.0
11:26.0, ,59-66,Defensive rebound by K. Porziņģis,,3,66,59,7,1474.0
11:12.0, ,59-69,J. Tatum makes 3-pt jump shot from 27 ft (assist by D. White),,3,69,59,10,1488.0
11:01.0,K. Irving makes 3-pt jump shot from 28 ft,62-69, ,,3,69,62,7,1499.0
10:42.0, ,62-71,J. Brown makes 2-pt layup from 3 ft,,3,71,62,9,1518.0
10:32.0,K. Irving misses 2-pt layup from 3 ft,62-71, ,,3,71,62,9,1528.0
10:30.0,Offensive rebound by D. Lively,62-71, ,,3,71,62,9,1530.0
10:22.0,K. Irving misses 2-pt jump shot from 14 ft,62-71, ,,3,71,62,9,1538.0
10:21.0,Offensive rebound by L. Dončić,62-71, ,,3,71,62,9,1539.0
10:20.0,Shooting foul by D. White (drawn by L. Dončić),62-71, ,,3,71,62,9,1540.0
10:20.0,L. Dončić makes free throw 1 of 2,63-71, ,,3,71,63,8,1540.0
10:20.0,L. Dončić makes free throw 2 of 2,64-71, ,,3,71,64,7,1540.0
10:08.0, ,64-71,D. White misses 3-pt jump shot from 27 ft,,3,71,64,7,1552.0
10:07.0,Defensive rebound by D. Lively,64-71, ,,3,71,64,7,1553.0
9:57.0,J. Green misses 3-pt jump shot from 26 ft,64-71, ,,3,71,64,7,1563.0
9:55.0, ,64-71,Defensive rebound by J. Holiday,,3,71,64,7,1565.0
9:49.0, ,64-71,Turnover by D. White (bad pass),,3,71,64,7,1571.0
9:29.0,P. Washington makes 3-pt jump shot from 26 ft (assist by L. Dončić),67-71, ,,3,71,67,4,1591.0
9:04.0, ,67-71,Personal foul by J. Green (drawn by K. Porziņģis),,3,71,67,4,1616.0
8:55.0, ,67-74,J. Tatum makes 3-pt jump shot from 27 ft,,3,74,67,7,1625.0
8:45.0,P. Washington makes 3-pt jump shot from 27 ft (assist by J. Green),70-74, ,,3,74,70,4,1635.0
8:30.0, ,70-77,D. White makes 3-pt jump shot from 23 ft (assist by J. Holiday),,3,77,70,7,1650.0
8:10.0,P. Washington misses 2-pt layup from 3 ft,70-77, ,,3,77,70,7,1670.0
8:08.0, ,70-77,Defensive rebound by J. Tatum,,3,77,70,7,1672.0
7:55.0, ,70-77,J. Tatum misses 3-pt jump shot from 27 ft,,3,77,70,7,1685.0
7:52.0,Defensive rebound by J. Green,70-77, ,,3,77,70,7,1688.0
7:46.0,K. Irving makes 2-pt layup from 2 ft (assist by L. Dončić),72-77, ,,3,77,72,5,1694.0
7:28.0, ,72-77,J. Brown misses 2-pt jump shot from 14 ft,,3,77,72,5,1712.0
7:26.0,Defensive rebound by L. Dončić,72-77, ,,3,77,72,5,1714.0
7:20.0,D. Lively makes 2-pt dunk from 2 ft (assist by L. Dončić),74-77, ,,3,77,74,3,1720.0
7:20.0, ,74-77,Boston full timeout,,3,77,74,3,1720.0
7:20.0,T. Hardaway enters the game for J. Green,74-77, ,,3,77,74,3,1720.0
6:58.0, ,74-79,K. Porziņģis makes 2-pt jump shot from 12 ft,,3,79,74,5,1742.0
6:36.0,P. Washington makes 3-pt jump shot from 26 ft (assist by K. Irving),77-79, ,,3,79,77,2,1764.0
6:18.0, ,77-81,J. Brown makes 2-pt layup from 5 ft (assist by J. Holiday),,3,81,77,4,1782.0
6:03.0,K. Irving misses 2-pt jump shot from 5 ft,77-81, ,,3,81,77,4,1797.0
6:02.0,Offensive rebound by D. Lively,77-81, ,,3,81,77,4,1798.0
6:02.0,D. Lively makes 2-pt dunk at rim,79-81, ,,3,81,79,2,1798.0
5:46.0, ,79-81,J. Brown misses 3-pt jump shot from 24 ft,,3,81,79,2,1814.0
5:45.0,Defensive rebound by L. Dončić,79-81, ,,3,81,79,2,1815.0
5:38.0,P. Washington misses 3-pt jump shot from 27 ft,79-81, ,,3,81,79,2,1822.0
5:37.0, ,79-81,Defensive rebound by J. Tatum,,3,81,79,2,1823.0
5:28.0, ,79-84,J. Brown makes 3-pt jump shot from 24 ft (assist by J. Holiday),,3,84,79,5,1832.0
5:14.0,P. Washington misses 2-pt jump shot from 8 ft,79-84, ,,3,84,79,5,1846.0
5:13.0,Offensive rebound by P. Washington,79-84, ,,3,84,79,5,1847.0
5:11.0,P. Washington misses 2-pt layup from 4 ft (block by J. Holiday),79-84, ,,3,84,79,5,1849.0
5:10.0, ,79-84,Defensive rebound by K. Porziņģis,,3,84,79,5,1850.0
5:03.0, ,79-87,J. Tatum makes 3-pt jump shot from 27 ft (assist by J. Holiday),,3,87,79,8,1857.0
5:01.0,Dallas full timeout,79-87, ,,3,87,79,8,1859.0
5:01.0,D. Exum enters the game for K. Irving,79-87, ,,3,87,79,8,1859.0
5:01.0,M. Kleber enters the game for D. Lively,79-87, ,,3,87,79,8,1859.0
5:01.0, ,79-87,S. Hauser enters the game for J. Brown,,3,87,79,8,1859.0
5:01.0, ,79-87,A. Horford enters the game for D. White,,3,87,79,8,1859.0
4:53.0,P. Washington misses 3-pt jump shot from 26 ft,79-87, ,,3,87,79,8,1867.0
4:49.0, ,79-87,Defensive rebound by Team,,3,87,79,8,1871.0
4:35.0, ,79-87,K. Porziņģis misses 2-pt jump shot from 11 ft,,3,87,79,8,1885.0
4:34.0,Defensive rebound by T. Hardaway,79-87, ,,3,87,79,8,1886.0
4:19.0,L. Dončić makes 2-pt layup from 1 ft,81-87, ,,3,87,81,6,1901.0
4:07.0, ,81-87,S. Hauser misses 3-pt jump shot from 24 ft,,3,87,81,6,1913.0
4:06.0,Defensive rebound by P. Washington,81-87, ,,3,87,81,6,1914.0
3:56.0,Shooting foul by J. Holiday (drawn by L. Dončić),81-87, ,,3,87,81,6,1924.0
3:56.0,L. Dončić misses free throw 1 of 2,81-87, ,,3,87,81,6,1924.0
3:56.0,Offensive rebound by Team,81-87, ,,3,87,81,6,1924.0
3:56.0,L. Dončić makes free throw 2 of 2,82-87, ,,3,87,82,5,1924.0
3:41.0, ,82-89,K. Porziņģis makes 2-pt dunk from 2 ft,,3,89,82,7,1939.0
3:20.0,D. Exum misses 3-pt jump shot from 26 ft,82-89, ,,3,89,82,7,1960.0
3:19.0, ,82-89,Defensive rebound by Team,,3,89,82,7,1961.0
3:12.0, ,82-89,K. Porziņģis misses 3-pt jump shot from 28 ft,,3,89,82,7,1968.0
3:11.0,Defensive rebound by D. Exum,82-89, ,,3,89,82,7,1969.0
3:02.0,L. Dončić misses 3-pt jump shot from 27 ft,82-89, ,,3,89,82,7,1978.0
2:59.0, ,82-89,Defensive rebound by J. Tatum,,3,89,82,7,1981.0
2:45.0, ,82-89,J. Tatum misses 2-pt layup from 3 ft,,3,89,82,7,1995.0
2:44.0, ,82-89,Offensive rebound by K. Porziņģis,,3,89,82,7,1996.0
2:44.0, ,82-91,K. Porziņģis makes 2-pt layup at rim,,3,91,82,9,1996.0
