Time,Boston,Score,Chicago,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:24.0, ,86-74,D. DeRozan enters the game for N. Vučević,,3,86,74,12,1956.0
3:00.0,J. Tatum misses 3-pt jump shot from 26 ft,86-74, ,,3,86,74,12,1980.0
2:57.0,Offensive rebound by L. Kornet,86-74, ,,3,86,74,12,1983.0
2:45.0,J. Tatum misses 2-pt layup from 1 ft (block by A. Drummond),86-74, ,,3,86,74,12,1995.0
2:41.0,Offensive rebound by L. Kornet,86-74, ,,3,86,74,12,1999.0
2:41.0,L. Kornet makes 2-pt dunk at rim,88-74, ,,3,88,74,14,1999.0
2:37.0, ,88-74,Personal foul by J. Tatum (drawn by D. DeRozan),,3,88,74,14,2003.0
2:37.0, ,88-74,C. White enters the game for A. Dosunmu,,3,88,74,14,2003.0
2:29.0, ,88-77,C. White makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,3,88,77,11,2011.0
2:13.0,J. Holiday misses 3-pt jump shot from 26 ft,88-77, ,,3,88,77,11,2027.0
2:13.0, ,88-77,Defensive rebound by A. Drummond,,3,88,77,11,2027.0
2:00.0, ,88-79,A. Drummond makes 2-pt hook shot from 2 ft (assist by D. DeRozan),,3,88,79,9,2040.0
1:50.0,Personal foul by C. White (drawn by J. Holiday),88-79, ,,3,88,79,9,2050.0
1:50.0,J. Holiday misses free throw 1 of 2,88-79, ,,3,88,79,9,2050.0
1:50.0,Offensive rebound by Team,88-79, ,,3,88,79,9,2050.0
1:50.0, ,88-79,A. Caruso enters the game for J. Carter,,3,88,79,9,2050.0
1:50.0,J. Holiday makes free throw 2 of 2,89-79, ,,3,89,79,10,2050.0
1:35.0, ,89-79,D. DeRozan misses 3-pt jump shot from 27 ft,,3,89,79,10,2065.0
1:33.0,Defensive rebound by P. Pritchard,89-79, ,,3,89,79,10,2067.0
1:28.0,Turnover by P. Pritchard (bad pass; steal by D. DeRozan),89-79, ,,3,89,79,10,2072.0
1:24.0, ,89-81,D. DeRozan makes 2-pt jump shot from 5 ft,,3,89,81,8,2076.0
0:59.0,J. Tatum makes 2-pt jump shot from 17 ft,91-81, ,,3,91,81,10,2101.0
0:41.0, ,91-81,Turnover by A. Caruso (lost ball; steal by J. Holiday),,3,91,81,10,2119.0
0:37.0,L. Kornet makes 2-pt dunk at rim (assist by J. Tatum),93-81, ,,3,93,81,12,2123.0
0:32.0, ,93-81,C. White misses 3-pt jump shot from 26 ft,,3,93,81,12,2128.0
0:30.0,Defensive rebound by P. Pritchard,93-81, ,,3,93,81,12,2130.0
0:10.0,J. Tatum makes 3-pt jump shot from 25 ft,96-81, ,,3,96,81,15,2150.0
0:00.0, ,96-83,C. White makes 2-pt jump shot from 16 ft,,3,96,83,13,2160.0
0:00.0,P. Pritchard misses 3-pt jump shot from 77 ft,96-83, ,,3,96,83,13,2160.0
0:00.0,Offensive rebound by Team,96-83, ,,3,96,83,13,2160.0
0:00.0,End of 3rd quarter,96-83,,,3,96,83,13,2160.0
12:00.0,Start of 4th quarter,96-83,,,4,96,83,13,2160.0
11:49.0,Offensive foul by A. Horford (drawn by A. Caruso),96-83, ,,4,96,83,13,2171.0
11:49.0,Turnover by A. Horford (offensive foul),96-83, ,,4,96,83,13,2171.0
11:32.0, ,96-83,D. DeRozan misses 2-pt jump shot from 14 ft,,4,96,83,13,2188.0
11:29.0, ,96-83,Offensive rebound by A. Drummond,,4,96,83,13,2191.0
11:29.0, ,96-83,A. Drummond misses 2-pt layup at rim,,4,96,83,13,2191.0
11:28.0, ,96-83,Offensive rebound by A. Drummond,,4,96,83,13,2192.0
11:28.0, ,96-85,A. Drummond makes 2-pt layup at rim,,4,96,85,11,2192.0
11:16.0,P. Pritchard makes 3-pt jump shot from 22 ft (assist by D. White),99-85, ,,4,99,85,14,2204.0
10:52.0, ,99-88,A. Caruso makes 3-pt jump shot from 24 ft,,4,99,88,11,2228.0
10:37.0,P. Pritchard makes 3-pt jump shot from 28 ft (assist by D. White),102-88, ,,4,102,88,14,2243.0
10:16.0, ,102-90,D. DeRozan makes 2-pt jump shot from 18 ft (assist by A. Caruso),,4,102,90,12,2264.0
10:03.0,D. White makes 3-pt jump shot from 26 ft (assist by L. Kornet),105-90, ,,4,105,90,15,2277.0
9:52.0, ,105-90,Turnover by D. DeRozan (out of bounds lost ball),,4,105,90,15,2288.0
9:42.0,A. Horford misses 2-pt jump shot from 20 ft,105-90, ,,4,105,90,15,2298.0
9:38.0,Offensive rebound by L. Kornet,105-90, ,,4,105,90,15,2302.0
9:38.0,L. Kornet makes 2-pt dunk at rim,107-90, ,,4,107,90,17,2302.0
9:29.0, ,107-90,C. White misses 2-pt jump shot from 9 ft,,4,107,90,17,2311.0
9:29.0,Defensive rebound by Team,107-90, ,,4,107,90,17,2311.0
9:17.0,D. White misses 3-pt jump shot from 26 ft,107-90, ,,4,107,90,17,2323.0
9:15.0,Offensive rebound by L. Kornet,107-90, ,,4,107,90,17,2325.0
9:15.0,L. Kornet makes 2-pt dunk at rim,109-90, ,,4,109,90,19,2325.0
9:15.0, ,109-90,Chicago full timeout,,4,109,90,19,2325.0
9:15.0, ,109-90,Technical foul by D. DeRozan,,4,109,90,19,2325.0
9:15.0,D. White makes technical free throw,110-90, ,,4,110,90,20,2325.0
9:15.0, ,110-90,N. Vučević enters the game for A. Drummond,,4,110,90,20,2325.0
9:01.0, ,110-92,D. DeRozan makes 2-pt jump shot from 18 ft (assist by C. White),,4,110,92,18,2339.0
8:47.0,D. White makes 2-pt jump shot from 17 ft,112-92, ,,4,112,92,20,2353.0
8:47.0,Shooting foul by C. White (drawn by D. White),112-92, ,,4,112,92,20,2353.0
8:47.0, ,112-92,D. Terry enters the game for A. Caruso,,4,112,92,20,2353.0
8:47.0,D. White makes free throw 1 of 1,113-92, ,,4,113,92,21,2353.0
8:30.0, ,113-95,C. White makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,4,113,95,18,2370.0
8:08.0,L. Kornet misses 2-pt layup from 1 ft,113-95, ,,4,113,95,18,2392.0
8:06.0, ,113-95,Defensive rebound by N. Vučević,,4,113,95,18,2394.0
7:56.0, ,113-95,Turnover by A. Dosunmu (bad pass),,4,113,95,18,2404.0
7:56.0,K. Porziņģis enters the game for L. Kornet,113-95, ,,4,113,95,18,2404.0
7:41.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by J. Brown),116-95, ,,4,116,95,21,2419.0
7:27.0, ,116-97,C. White makes 2-pt layup from 1 ft,,4,116,97,19,2433.0
7:18.0,J. Brown misses 3-pt jump shot from 25 ft,116-97, ,,4,116,97,19,2442.0
7:16.0, ,116-97,Defensive rebound by A. Dosunmu,,4,116,97,19,2444.0
7:04.0, ,116-97,N. Vučević misses 2-pt hook shot from 6 ft,,4,116,97,19,2456.0
7:02.0,Defensive rebound by J. Brown,116-97, ,,4,116,97,19,2458.0
6:51.0,K. Porziņģis misses 3-pt jump shot from 26 ft,116-97, ,,4,116,97,19,2469.0
6:49.0, ,116-97,Defensive rebound by C. White,,4,116,97,19,2471.0
6:42.0, ,116-97,A. Dosunmu misses 3-pt jump shot from 25 ft,,4,116,97,19,2478.0
6:39.0, ,116-97,Offensive rebound by D. DeRozan,,4,116,97,19,2481.0
6:34.0, ,116-99,N. Vučević makes 2-pt jump shot from 14 ft (assist by D. DeRozan),,4,116,99,17,2486.0
6:34.0,Boston full timeout,116-99, ,,4,116,99,17,2486.0
6:34.0,J. Tatum enters the game for A. Horford,116-99, ,,4,116,99,17,2486.0
6:34.0, ,116-99,A. Caruso enters the game for D. DeRozan,,4,116,99,17,2486.0
6:20.0,D. White makes 2-pt hook shot from 8 ft (assist by K. Porziņģis),118-99, ,,4,118,99,19,2500.0
6:20.0,Shooting foul by C. White (drawn by D. White),118-99, ,,4,118,99,19,2500.0
6:20.0,D. White makes free throw 1 of 1,119-99, ,,4,119,99,20,2500.0
6:10.0, ,119-101,A. Caruso makes 2-pt layup from 2 ft (assist by A. Dosunmu),,4,119,101,18,2510.0
5:52.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by D. White),122-101, ,,4,122,101,21,2528.0
5:41.0, ,122-101,N. Vučević misses 3-pt jump shot from 25 ft,,4,122,101,21,2539.0
5:36.0, ,122-101,Offensive rebound by D. Terry,,4,122,101,21,2544.0
5:36.0, ,122-103,D. Terry makes 2-pt layup at rim,,4,122,103,19,2544.0
5:06.0,Turnover by J. Tatum (bad pass; steal by C. White),122-103, ,,4,122,103,19,2574.0
5:01.0, ,122-105,A. Dosunmu makes 2-pt layup from 1 ft (assist by D. Terry),,4,122,105,17,2579.0
4:38.0,K. Porziņģis misses 3-pt jump shot from 25 ft,122-105, ,,4,122,105,17,2602.0
4:37.0,Offensive rebound by Team,122-105, ,,4,122,105,17,2603.0
4:37.0,Turnover by Team (shot clock),122-105, ,,4,122,105,17,2603.0
4:37.0,J. Holiday enters the game for P. Pritchard,122-105, ,,4,122,105,17,2603.0
4:37.0, ,122-105,D. DeRozan enters the game for A. Dosunmu,,4,122,105,17,2603.0
4:29.0, ,122-105,N. Vučević misses 2-pt layup from 1 ft,,4,122,105,17,2611.0
4:27.0,Defensive rebound by J. Brown,122-105, ,,4,122,105,17,2613.0
4:07.0,K. Porziņģis misses 2-pt jump shot from 18 ft,122-105, ,,4,122,105,17,2633.0
4:03.0, ,122-105,Defensive rebound by A. Caruso,,4,122,105,17,2637.0
3:55.0, ,122-105,N. Vučević misses 2-pt hook shot from 5 ft,,4,122,105,17,2645.0
3:53.0,Defensive rebound by K. Porziņģis,122-105, ,,4,122,105,17,2647.0
3:35.0,Shooting foul by N. Vučević (drawn by J. Tatum),122-105, ,,4,122,105,17,2665.0
3:35.0,J. Tatum makes free throw 1 of 2,123-105, ,,4,123,105,18,2665.0
3:35.0, ,123-105,A. Dosunmu enters the game for D. Terry,,4,123,105,18,2665.0
3:35.0,J. Tatum makes free throw 2 of 2,124-105, ,,4,124,105,19,2665.0
3:27.0, ,124-105,C. White misses 3-pt jump shot from 29 ft,,4,124,105,19,2673.0
3:24.0,Defensive rebound by J. Holiday,124-105, ,,4,124,105,19,2676.0
3:07.0,K. Porziņģis misses 3-pt jump shot from 27 ft,124-105, ,,4,124,105,19,2693.0
3:03.0, ,124-105,Defensive rebound by A. Dosunmu,,4,124,105,19,2697.0
2:51.0, ,124-105,A. Dosunmu misses 3-pt jump shot from 26 ft,,4,124,105,19,2709.0
2:48.0,Defensive rebound by D. White,124-105, ,,4,124,105,19,2712.0
2:39.0,D. White misses 3-pt jump shot from 24 ft,124-105, ,,4,124,105,19,2721.0
2:36.0, ,124-105,Defensive rebound by D. DeRozan,,4,124,105,19,2724.0
2:33.0, ,124-105,Shooting foul by J. Holiday (drawn by C. White),,4,124,105,19,2727.0
2:33.0, ,124-106,C. White makes free throw 1 of 2,,4,124,106,18,2727.0
2:33.0,X. Tillman enters the game for K. Porziņģis,124-106, ,,4,124,106,18,2727.0
2:33.0, ,124-106,O. Bitim enters the game for A. Caruso,,4,124,106,18,2727.0
2:33.0, ,124-106,T. Taylor enters the game for D. DeRozan,,4,124,106,18,2727.0
2:33.0, ,124-106,D. Terry enters the game for N. Vučević,,4,124,106,18,2727.0
2:33.0, ,124-107,C. White makes free throw 2 of 2,,4,124,107,17,2727.0
2:15.0,J. Tatum misses 3-pt jump shot from 26 ft,124-107, ,,4,124,107,17,2745.0
2:14.0, ,124-107,Defensive rebound by D. Terry,,4,124,107,17,2746.0
2:14.0, ,124-107,Chicago full timeout,,4,124,107,17,2746.0
2:14.0,O. Brissett enters the game for J. Brown,124-107, ,,4,124,107,17,2746.0
2:14.0,S. Mykhailiuk enters the game for J. Holiday,124-107, ,,4,124,107,17,2746.0
2:14.0,P. Pritchard enters the game for J. Tatum,124-107, ,,4,124,107,17,2746.0
2:14.0,J. Springer enters the game for D. White,124-107, ,,4,124,107,17,2746.0
2:14.0, ,124-107,J. Carter enters the game for A. Dosunmu,,4,124,107,17,2746.0
2:14.0, ,124-107,J. Phillips enters the game for C. White,,4,124,107,17,2746.0
1:56.0, ,124-109,J. Phillips makes 2-pt layup from 1 ft (assist by J. Carter),,4,124,109,15,2764.0
1:34.0,X. Tillman makes 2-pt layup from 1 ft (assist by S. Mykhailiuk),126-109, ,,4,126,109,17,2786.0
1:28.0, ,126-109,Shooting foul by X. Tillman (drawn by D. Terry),,4,126,109,17,2792.0
1:28.0, ,126-109,D. Terry misses free throw 1 of 2,,4,126,109,17,2792.0
1:28.0, ,126-109,Offensive rebound by Team,,4,126,109,17,2792.0
1:28.0, ,126-110,D. Terry makes free throw 2 of 2,,4,126,110,16,2792.0
1:05.0,J. Springer misses 3-pt jump shot from 23 ft,126-110, ,,4,126,110,16,2815.0
1:04.0, ,126-110,Defensive rebound by Team,,4,126,110,16,2816.0
0:52.0, ,126-110,O. Bitim misses 3-pt jump shot from 23 ft,,4,126,110,16,2828.0
0:49.0,Defensive rebound by P. Pritchard,126-110, ,,4,126,110,16,2831.0
0:40.0,S. Mykhailiuk makes 3-pt jump shot from 26 ft (assist by P. Pritchard),129-110, ,,4,129,110,19,2840.0
0:30.0, ,129-110,O. Bitim misses 2-pt layup from 1 ft (block by X. Tillman),,4,129,110,19,2850.0
0:30.0,Defensive rebound by S. Mykhailiuk,129-110, ,,4,129,110,19,2850.0
0:24.0,Turnover by P. Pritchard (bad pass; steal by D. Terry),129-110, ,,4,129,110,19,2856.0
0:10.0, ,129-112,J. Carter makes 2-pt jump shot from 12 ft (assist by T. Taylor),,4,129,112,17,2870.0
0:00.0,End of 4th quarter,129-112,,,4,129,112,17,2880.0
