Time,Boston,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:13.0, ,55-46,G. Williams enters the game for M. Kleber,,2,55,46,9,1247.0
3:10.0,D. White makes 3-pt jump shot from 26 ft (assist by J. Holiday),58-46, ,,2,58,46,12,1250.0
2:54.0, ,58-49,T. Hardaway makes 3-pt jump shot from 24 ft (assist by G. Williams),,2,58,49,9,1266.0
2:30.0,A. Horford makes 3-pt jump shot from 23 ft (assist by J. Tatum),61-49, ,,2,61,49,12,1290.0
2:17.0, ,61-49,L. Dončić misses 3-pt jump shot from 25 ft,,2,61,49,12,1303.0
2:13.0,Defensive rebound by D. White,61-49, ,,2,61,49,12,1307.0
2:05.0,Turnover by A. Horford (lost ball; steal by L. Dončić),61-49, ,,2,61,49,12,1315.0
1:59.0, ,61-52,T. Hardaway makes 3-pt jump shot from 27 ft,,2,61,52,9,1321.0
1:41.0,J. Holiday misses 3-pt jump shot from 26 ft,61-52, ,,2,61,52,9,1339.0
1:38.0, ,61-52,Defensive rebound by G. Williams,,2,61,52,9,1342.0
1:31.0, ,61-54,T. Hardaway makes 2-pt jump shot from 13 ft,,2,61,54,7,1349.0
1:15.0,Shooting foul by D. Lively (drawn by J. Brown),61-54, ,,2,61,54,7,1365.0
1:15.0,J. Brown misses free throw 1 of 2,61-54, ,,2,61,54,7,1365.0
1:15.0,Offensive rebound by Team,61-54, ,,2,61,54,7,1365.0
1:15.0,J. Brown makes free throw 2 of 2,62-54, ,,2,62,54,8,1365.0
1:04.0, ,62-57,K. Irving makes 3-pt jump shot from 24 ft (assist by L. Dončić),,2,62,57,5,1376.0
0:41.0,J. Tatum misses 3-pt jump shot from 26 ft,62-57, ,,2,62,57,5,1399.0
0:39.0,Offensive rebound by A. Horford,62-57, ,,2,62,57,5,1401.0
0:36.0,J. Brown makes 3-pt jump shot from 23 ft (assist by J. Tatum),65-57, ,,2,65,57,8,1404.0
0:25.0, ,65-57,Shooting foul by A. Horford (drawn by L. Dončić),,2,65,57,8,1415.0
0:25.0, ,65-58,L. Dončić makes free throw 1 of 2,,2,65,58,7,1415.0
0:25.0, ,65-58,D. Jones enters the game for K. Irving,,2,65,58,7,1415.0
0:25.0, ,65-59,L. Dončić makes free throw 2 of 2,,2,65,59,6,1415.0
0:03.0,Shooting foul by D. Jones (drawn by J. Tatum),65-59, ,,2,65,59,6,1437.0
0:03.0,J. Tatum misses free throw 1 of 2,65-59, ,,2,65,59,6,1437.0
0:03.0,Offensive rebound by Team,65-59, ,,2,65,59,6,1437.0
0:03.0,P. Pritchard enters the game for J. Brown,65-59, ,,2,65,59,6,1437.0
0:03.0, ,65-59,K. Irving enters the game for D. Jones,,2,65,59,6,1437.0
0:03.0,J. Tatum misses free throw 2 of 2,65-59, ,,2,65,59,6,1437.0
0:01.0, ,65-59,Defensive rebound by G. Williams,,2,65,59,6,1439.0
0:00.0, ,65-59,G. Williams misses 3-pt jump shot from 45 ft (block by J. Tatum),,2,65,59,6,1440.0
0:00.0, ,65-59,Offensive rebound by Team,,2,65,59,6,1440.0
0:00.0,End of 2nd quarter,65-59,,,2,65,59,6,1440.0
12:00.0,Start of 3rd quarter,65-59,,,3,65,59,6,1440.0
11:47.0, ,65-61,L. Dončić makes 2-pt jump shot from 3 ft,,3,65,61,4,1453.0
11:22.0,J. Holiday misses 3-pt jump shot from 25 ft,65-61, ,,3,65,61,4,1478.0
11:20.0, ,65-61,Defensive rebound by L. Dončić,,3,65,61,4,1480.0
11:13.0, ,65-61,L. Dončić misses 3-pt jump shot from 26 ft,,3,65,61,4,1487.0
11:10.0,Defensive rebound by D. White,65-61, ,,3,65,61,4,1490.0
11:04.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Tatum),68-61, ,,3,68,61,7,1496.0
10:47.0, ,68-61,J. Green misses 3-pt jump shot from 24 ft,,3,68,61,7,1513.0
10:45.0,Defensive rebound by J. Tatum,68-61, ,,3,68,61,7,1515.0
10:39.0,D. White misses 3-pt jump shot from 23 ft,68-61, ,,3,68,61,7,1521.0
10:36.0, ,68-61,Defensive rebound by J. Green,,3,68,61,7,1524.0
