Time,Cleveland,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:20.0, ,17-25,L. Stevens enters the game for K. Porziņģis,,1,25,17,8,460.0
4:10.0,C. LeVert misses 2-pt layup from 1 ft,17-25, ,,1,25,17,8,470.0
4:08.0, ,17-25,Defensive rebound by L. Stevens,,1,25,17,8,472.0
4:05.0, ,17-25,Shooting foul by I. Okoro (drawn by D. White),,1,25,17,8,475.0
4:05.0, ,17-26,D. White makes free throw 1 of 2,,1,26,17,9,475.0
4:05.0, ,17-27,D. White makes free throw 2 of 2,,1,27,17,10,475.0
3:53.0,Def 3 sec tech foul by Team,17-27, ,,1,27,17,10,487.0
3:53.0,D. Mitchell makes technical free throw,18-27, ,,1,27,18,9,487.0
3:41.0,D. Mitchell makes 2-pt jump shot from 21 ft (assist by J. Allen),20-27, ,,1,27,20,7,499.0
3:33.0, ,20-27,D. White misses 2-pt jump shot from 11 ft,,1,27,20,7,507.0
3:32.0,Defensive rebound by C. LeVert,20-27, ,,1,27,20,7,508.0
3:20.0,Personal foul by L. Stevens (drawn by D. Mitchell),20-27, ,,1,27,20,7,520.0
3:09.0,Turnover by J. Allen (lost ball; steal by D. White),20-27, ,,1,27,20,7,531.0
3:09.0, ,20-27,Boston full timeout,,1,27,20,7,531.0
3:09.0, ,20-27,Instant Replay (Challenge: Ruling Stands),,1,27,20,7,531.0
2:52.0, ,20-30,S. Hauser makes 3-pt jump shot from 27 ft (assist by L. Stevens),,1,30,20,10,548.0
2:37.0,D. Mitchell misses 3-pt jump shot from 28 ft,20-30, ,,1,30,20,10,563.0
2:36.0, ,20-30,Defensive rebound by Team,,1,30,20,10,564.0
2:36.0,D. Garland enters the game for D. Mitchell,20-30, ,,1,30,20,10,564.0
2:36.0, ,20-30,J. Holiday enters the game for J. Brown,,1,30,20,10,564.0
2:36.0, ,20-30,J. Tatum enters the game for D. White,,1,30,20,10,564.0
2:19.0, ,20-30,A. Horford misses 3-pt jump shot from 27 ft,,1,30,20,10,581.0
2:17.0,Defensive rebound by I. Okoro,20-30, ,,1,30,20,10,583.0
2:10.0,Personal foul by L. Stevens (drawn by D. Garland),20-30, ,,1,30,20,10,590.0
1:58.0,D. Garland makes 2-pt jump shot from 12 ft,22-30, ,,1,30,22,8,602.0
1:39.0, ,22-30,J. Tatum misses 2-pt jump shot from 4 ft,,1,30,22,8,621.0
1:37.0,Defensive rebound by J. Allen,22-30, ,,1,30,22,8,623.0
1:20.0,Shooting foul by L. Stevens (drawn by I. Okoro),22-30, ,,1,30,22,8,640.0
1:20.0,I. Okoro makes free throw 1 of 2,23-30, ,,1,30,23,7,640.0
1:20.0, ,23-30,P. Pritchard enters the game for L. Stevens,,1,30,23,7,640.0
1:20.0,I. Okoro makes free throw 2 of 2,24-30, ,,1,30,24,6,640.0
0:58.0, ,24-33,J. Tatum makes 3-pt jump shot from 25 ft,,1,33,24,9,662.0
0:51.0,D. Garland misses 3-pt jump shot from 28 ft,24-33, ,,1,33,24,9,669.0
0:49.0, ,24-33,Defensive rebound by A. Horford,,1,33,24,9,671.0
0:36.0, ,24-33,J. Tatum misses 2-pt jump shot from 14 ft,,1,33,24,9,684.0
0:34.0,Defensive rebound by G. Niang,24-33, ,,1,33,24,9,686.0
