Time,Boston,Score,LA Lakers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:31.0,K. Porziņģis makes free throw 2 of 2,78-72, ,,3,78,72,6,1769.0
6:18.0, ,78-72,R. Hachimura misses 3-pt jump shot from 26 ft,,3,78,72,6,1782.0
6:15.0,Defensive rebound by J. Holiday,78-72, ,,3,78,72,6,1785.0
6:00.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by D. White),81-72, ,,3,81,72,9,1800.0
5:44.0, ,81-74,A. Davis makes 2-pt dunk from 3 ft (assist by L. James),,3,81,74,7,1816.0
5:33.0,J. Holiday misses 3-pt jump shot from 27 ft,81-74, ,,3,81,74,7,1827.0
5:30.0,Offensive rebound by K. Porziņģis,81-74, ,,3,81,74,7,1830.0
5:29.0,K. Porziņģis misses 2-pt layup at rim,81-74, ,,3,81,74,7,1831.0
5:29.0, ,81-74,Defensive rebound by A. Reaves,,3,81,74,7,1831.0
5:24.0, ,81-74,T. Prince misses 3-pt jump shot from 27 ft,,3,81,74,7,1836.0
5:24.0,Defensive rebound by K. Porziņģis,81-74, ,,3,81,74,7,1836.0
5:12.0,J. Brown misses 2-pt layup from 4 ft,81-74, ,,3,81,74,7,1848.0
