Time,Boston,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:34.0, ,99-67,Defensive rebound by P. Baldwin,,3,99,67,32,1886.0
4:23.0, ,99-67,J. Butler misses 2-pt jump shot from 6 ft,,3,99,67,32,1897.0
4:20.0,Defensive rebound by J. Tatum,99-67, ,,3,99,67,32,1900.0
4:16.0,P. Pritchard misses 3-pt jump shot from 24 ft,99-67, ,,3,99,67,32,1904.0
4:11.0, ,99-67,Defensive rebound by P. Baldwin,,3,99,67,32,1909.0
4:01.0, ,99-67,P. Baldwin misses 3-pt jump shot from 26 ft,,3,99,67,32,1919.0
4:00.0,Defensive rebound by S. Mykhailiuk,99-67, ,,3,99,67,32,1920.0
4:00.0,Boston full timeout,99-67, ,,3,99,67,32,1920.0
4:00.0,O. Brissett enters the game for J. Holiday,99-67, ,,3,99,67,32,1920.0
4:00.0,J. Springer enters the game for J. Tatum,99-67, ,,3,99,67,32,1920.0
4:00.0, ,99-67,J. Bernard enters the game for P. Baldwin,,3,99,67,32,1920.0
4:00.0, ,99-67,J. Davis enters the game for J. Champagnie,,3,99,67,32,1920.0
4:00.0, ,99-67,A. Gill enters the game for C. Kispert,,3,99,67,32,1920.0
3:37.0,P. Pritchard misses 2-pt jump shot from 15 ft,99-67, ,,3,99,67,32,1943.0
3:34.0, ,99-67,Defensive rebound by J. Davis,,3,99,67,32,1946.0
3:25.0, ,99-67,J. Bernard misses 2-pt layup from 4 ft,,3,99,67,32,1955.0
3:23.0, ,99-67,Offensive rebound by J. Bernard,,3,99,67,32,1957.0
3:21.0, ,99-67,J. Davis misses 3-pt jump shot from 26 ft,,3,99,67,32,1959.0
3:21.0,Defensive rebound by L. Kornet,99-67, ,,3,99,67,32,1959.0
3:19.0,Offensive foul by J. Springer (drawn by E. Omoruyi),99-67, ,,3,99,67,32,1961.0
3:19.0,Turnover by J. Springer (offensive foul),99-67, ,,3,99,67,32,1961.0
3:19.0,Instant Replay (Request: Ruling Stands),99-67, ,,3,99,67,32,1961.0
3:19.0, ,99-67,Technical foul by E. Omoruyi,,3,99,67,32,1961.0
3:19.0,Technical foul by J. Springer,99-67, ,,3,99,67,32,1961.0
3:12.0, ,99-67,Turnover by J. Butler (bad pass; steal by J. Springer),,3,99,67,32,1968.0
3:09.0,P. Pritchard misses 2-pt layup from 1 ft (block by J. Davis),99-67, ,,3,99,67,32,1971.0
3:09.0,Offensive rebound by Team,99-67, ,,3,99,67,32,1971.0
3:09.0,Boston full timeout,99-67, ,,3,99,67,32,1971.0
3:09.0,Instant Replay (Challenge: Ruling Stands),99-67, ,,3,99,67,32,1971.0
2:55.0,P. Pritchard misses 3-pt jump shot from 26 ft,99-67, ,,3,99,67,32,1985.0
2:54.0,Offensive rebound by Team,99-67, ,,3,99,67,32,1986.0
2:54.0, ,99-67,Loose ball foul by A. Gill (drawn by L. Kornet),,3,99,67,32,1986.0
2:47.0,Turnover by O. Brissett (traveling),99-67, ,,3,99,67,32,1993.0
2:33.0, ,99-69,A. Gill makes 2-pt layup from 2 ft (assist by J. Butler),,3,99,69,30,2007.0
2:16.0,S. Mykhailiuk misses 3-pt jump shot from 25 ft,99-69, ,,3,99,69,30,2024.0
2:12.0,Offensive rebound by P. Pritchard,99-69, ,,3,99,69,30,2028.0
2:11.0,L. Kornet makes 2-pt dunk from 1 ft (assist by P. Pritchard),101-69, ,,3,101,69,32,2029.0
2:05.0, ,101-69,Personal foul by J. Springer (drawn by J. Bernard),,3,101,69,32,2035.0
1:58.0, ,101-69,J. Butler misses 2-pt layup from 4 ft (block by L. Kornet),,3,101,69,32,2042.0
1:55.0, ,101-69,Offensive rebound by A. Gill,,3,101,69,32,2045.0
1:54.0, ,101-71,A. Gill makes 2-pt layup from 2 ft,,3,101,71,30,2046.0
1:37.0,O. Brissett misses 3-pt jump shot from 27 ft,101-71, ,,3,101,71,30,2063.0
1:33.0, ,101-71,Defensive rebound by J. Bernard,,3,101,71,30,2067.0
1:23.0, ,101-71,Shooting foul by J. Springer (drawn by A. Gill),,3,101,71,30,2077.0
1:23.0, ,101-72,A. Gill makes free throw 1 of 2,,3,101,72,29,2077.0
1:23.0, ,101-72,P. Baldwin enters the game for E. Omoruyi,,3,101,72,29,2077.0
1:23.0, ,101-73,A. Gill makes free throw 2 of 2,,3,101,73,28,2077.0
1:09.0,S. Mykhailiuk misses 3-pt jump shot from 28 ft,101-73, ,,3,101,73,28,2091.0
1:06.0,Offensive rebound by J. Springer,101-73, ,,3,101,73,28,2094.0
1:05.0,J. Springer makes 2-pt layup at rim,103-73, ,,3,103,73,30,2095.0
0:50.0, ,103-76,A. Gill makes 3-pt jump shot from 27 ft (assist by J. Butler),,3,103,76,27,2110.0
0:31.0,L. Kornet makes 2-pt dunk from 1 ft (assist by P. Pritchard),105-76, ,,3,105,76,29,2129.0
0:24.0, ,105-78,J. Butler makes 2-pt jump shot from 14 ft,,3,105,78,27,2136.0
0:00.0,S. Mykhailiuk makes 3-pt jump shot from 26 ft (assist by P. Pritchard),108-78, ,,3,108,78,30,2160.0
0:00.0,Instant Replay (Request: Ruling Stands),108-78, ,,3,108,78,30,2160.0
0:00.0,End of 3rd quarter,108-78,,,3,108,78,30,2160.0
12:00.0,Start of 4th quarter,108-78,,,4,108,78,30,2160.0
11:43.0,J. Springer misses 3-pt jump shot from 23 ft,108-78, ,,4,108,78,30,2177.0
11:40.0, ,108-78,Defensive rebound by A. Gill,,4,108,78,30,2180.0
11:32.0, ,108-78,A. Gill misses 3-pt jump shot from 24 ft,,4,108,78,30,2188.0
11:27.0,Defensive rebound by P. Pritchard,108-78, ,,4,108,78,30,2193.0
11:08.0,L. Kornet makes 2-pt dunk from 2 ft (assist by P. Pritchard),110-78, ,,4,110,78,32,2212.0
10:47.0, ,110-78,Shooting foul by J. Springer (drawn by J. Butler),,4,110,78,32,2233.0
10:47.0, ,110-79,J. Butler makes free throw 1 of 2,,4,110,79,31,2233.0
10:47.0, ,110-80,J. Butler makes free throw 2 of 2,,4,110,80,30,2233.0
10:24.0,L. Kornet misses 2-pt layup at rim,110-80, ,,4,110,80,30,2256.0
10:20.0, ,110-80,Defensive rebound by P. Baldwin,,4,110,80,30,2260.0
10:16.0, ,110-80,J. Bernard misses 2-pt jump shot from 20 ft,,4,110,80,30,2264.0
10:14.0,Defensive rebound by J. Springer,110-80, ,,4,110,80,30,2266.0
10:13.0,Turnover by J. Springer (lost ball; steal by J. Champagnie),110-80, ,,4,110,80,30,2267.0
10:06.0, ,110-82,A. Gill makes 2-pt layup from 3 ft,,4,110,82,28,2274.0
9:52.0,X. Tillman makes 2-pt layup from 2 ft (assist by P. Pritchard),112-82, ,,4,112,82,30,2288.0
9:36.0, ,112-85,P. Baldwin makes 3-pt jump shot from 28 ft (assist by A. Gill),,4,112,85,27,2304.0
9:22.0,Offensive foul by X. Tillman (drawn by J. Butler),112-85, ,,4,112,85,27,2318.0
9:22.0,Turnover by X. Tillman (offensive foul),112-85, ,,4,112,85,27,2318.0
9:12.0, ,112-87,J. Butler makes 2-pt jump shot from 17 ft (assist by A. Gill),,4,112,87,25,2328.0
8:52.0,P. Pritchard misses 2-pt jump shot from 16 ft,112-87, ,,4,112,87,25,2348.0
8:47.0,Offensive rebound by L. Kornet,112-87, ,,4,112,87,25,2353.0
8:47.0,L. Kornet makes 2-pt dunk at rim,114-87, ,,4,114,87,27,2353.0
8:39.0, ,114-90,P. Baldwin makes 3-pt jump shot from 26 ft (assist by J. Butler),,4,114,90,24,2361.0
8:39.0,N. Queta enters the game for L. Kornet,114-90, ,,4,114,90,24,2361.0
8:39.0, ,114-90,J. Davis enters the game for J. Bernard,,4,114,90,24,2361.0
8:20.0,S. Mykhailiuk makes 3-pt jump shot from 24 ft (assist by P. Pritchard),117-90, ,,4,117,90,27,2380.0
8:07.0, ,117-93,J. Champagnie makes 3-pt jump shot from 23 ft (assist by J. Butler),,4,117,93,24,2393.0
7:43.0,X. Tillman misses 3-pt jump shot from 23 ft,117-93, ,,4,117,93,24,2417.0
7:40.0,Offensive rebound by X. Tillman,117-93, ,,4,117,93,24,2420.0
7:38.0,Shooting foul by J. Davis (drawn by X. Tillman),117-93, ,,4,117,93,24,2422.0
7:38.0,X. Tillman makes free throw 1 of 2,118-93, ,,4,118,93,25,2422.0
7:38.0,X. Tillman misses free throw 2 of 2,118-93, ,,4,118,93,25,2422.0
7:35.0, ,118-93,Defensive rebound by J. Champagnie,,4,118,93,25,2425.0
7:24.0, ,118-93,Offensive foul by P. Baldwin (drawn by J. Springer),,4,118,93,25,2436.0
7:24.0, ,118-93,Turnover by P. Baldwin (offensive foul),,4,118,93,25,2436.0
7:24.0, ,118-93,J. Bernard enters the game for J. Butler,,4,118,93,25,2436.0
7:10.0,Turnover by N. Queta (3 sec),118-93, ,,4,118,93,25,2450.0
6:55.0, ,118-93,A. Gill misses 2-pt layup from 2 ft (block by X. Tillman),,4,118,93,25,2465.0
6:54.0, ,118-93,Offensive rebound by Team,,4,118,93,25,2466.0
6:53.0, ,118-93,Washington full timeout,,4,118,93,25,2467.0
6:52.0, ,118-93,Offensive foul by A. Gill (drawn by J. Springer),,4,118,93,25,2468.0
6:52.0, ,118-93,Turnover by A. Gill (offensive foul),,4,118,93,25,2468.0
6:39.0,S. Mykhailiuk misses 2-pt layup from 2 ft (block by J. Davis),118-93, ,,4,118,93,25,2481.0
6:38.0, ,118-93,Defensive rebound by J. Bernard,,4,118,93,25,2482.0
6:38.0, ,118-93,Personal foul by N. Queta (drawn by J. Bernard),,4,118,93,25,2482.0
6:23.0, ,118-96,J. Bernard makes 3-pt jump shot from 28 ft (assist by J. Davis),,4,118,96,22,2497.0
6:04.0,X. Tillman misses 3-pt jump shot from 23 ft,118-96, ,,4,118,96,22,2516.0
6:01.0, ,118-96,Defensive rebound by J. Davis,,4,118,96,22,2519.0
5:55.0, ,118-98,J. Davis makes 2-pt jump shot from 10 ft,,4,118,98,20,2525.0
5:43.0,P. Pritchard makes 2-pt layup from 1 ft,120-98, ,,4,120,98,22,2537.0
5:23.0, ,120-98,P. Baldwin misses 3-pt jump shot from 27 ft,,4,120,98,22,2557.0
5:21.0, ,120-98,Offensive rebound by A. Gill,,4,120,98,22,2559.0
5:19.0, ,120-98,Turnover by A. Gill (bad pass),,4,120,98,22,2561.0
5:19.0,O. Brissett enters the game for X. Tillman,120-98, ,,4,120,98,22,2561.0
5:04.0,Turnover by P. Pritchard (traveling),120-98, ,,4,120,98,22,2576.0
4:51.0, ,120-98,J. Davis misses 2-pt jump shot from 15 ft,,4,120,98,22,2589.0
4:48.0,Defensive rebound by O. Brissett,120-98, ,,4,120,98,22,2592.0
4:40.0,O. Brissett misses 2-pt jump shot from 13 ft,120-98, ,,4,120,98,22,2600.0
4:37.0,Offensive rebound by O. Brissett,120-98, ,,4,120,98,22,2603.0
4:36.0,P. Pritchard makes 3-pt jump shot from 23 ft (assist by O. Brissett),123-98, ,,4,123,98,25,2604.0
4:33.0, ,123-98,Washington full timeout,,4,123,98,25,2607.0
4:18.0, ,123-98,P. Baldwin misses 3-pt jump shot from 25 ft,,4,123,98,25,2622.0
4:15.0,Defensive rebound by N. Queta,123-98, ,,4,123,98,25,2625.0
3:57.0,P. Pritchard makes 2-pt layup from 1 ft,125-98, ,,4,125,98,27,2643.0
3:45.0, ,125-100,J. Bernard makes 2-pt jump shot from 8 ft (assist by A. Gill),,4,125,100,25,2655.0
3:30.0,Shooting foul by A. Gill (drawn by O. Brissett),125-100, ,,4,125,100,25,2670.0
3:30.0,O. Brissett misses free throw 1 of 2,125-100, ,,4,125,100,25,2670.0
3:30.0,Offensive rebound by Team,125-100, ,,4,125,100,25,2670.0
3:30.0,O. Brissett makes free throw 2 of 2,126-100, ,,4,126,100,26,2670.0
3:15.0, ,126-102,J. Davis makes 2-pt dunk from 2 ft (assist by P. Baldwin),,4,126,102,24,2685.0
3:04.0,Turnover by J. Springer (traveling),126-102, ,,4,126,102,24,2696.0
2:51.0, ,126-102,J. Bernard misses 2-pt jump shot from 4 ft,,4,126,102,24,2709.0
2:47.0,Defensive rebound by P. Pritchard,126-102, ,,4,126,102,24,2713.0
2:44.0,O. Brissett makes 2-pt layup from 1 ft (assist by P. Pritchard),128-102, ,,4,128,102,26,2716.0
2:28.0, ,128-102,P. Baldwin misses 2-pt jump shot from 14 ft,,4,128,102,26,2732.0
2:25.0,Defensive rebound by S. Mykhailiuk,128-102, ,,4,128,102,26,2735.0
2:18.0,J. Springer misses 3-pt jump shot from 26 ft,128-102, ,,4,128,102,26,2742.0
2:13.0, ,128-102,Defensive rebound by P. Baldwin,,4,128,102,26,2747.0
1:51.0, ,128-102,A. Gill misses 2-pt jump shot from 12 ft,,4,128,102,26,2769.0
1:49.0, ,128-102,Offensive rebound by J. Davis,,4,128,102,26,2771.0
1:48.0, ,128-104,J. Davis makes 2-pt jump shot from 6 ft,,4,128,104,24,2772.0
1:33.0,P. Pritchard misses 3-pt jump shot from 24 ft,128-104, ,,4,128,104,24,2787.0
1:29.0, ,128-104,Defensive rebound by J. Davis,,4,128,104,24,2791.0
1:25.0, ,128-104,J. Champagnie misses 2-pt layup from 3 ft,,4,128,104,24,2795.0
1:21.0,Defensive rebound by S. Mykhailiuk,128-104, ,,4,128,104,24,2799.0
1:17.0,S. Mykhailiuk misses 3-pt jump shot from 26 ft,128-104, ,,4,128,104,24,2803.0
1:11.0, ,128-104,Defensive rebound by P. Baldwin,,4,128,104,24,2809.0
1:00.0, ,128-104,Turnover by J. Bernard (lost ball; steal by P. Pritchard),,4,128,104,24,2820.0
0:58.0,P. Pritchard makes 2-pt layup from 1 ft,130-104, ,,4,130,104,26,2822.0
0:58.0, ,130-104,Violation by Team (def goaltending),,4,130,104,26,2822.0
0:47.0, ,130-104,J. Bernard misses 3-pt jump shot from 25 ft,,4,130,104,26,2833.0
0:42.0,Defensive rebound by N. Queta,130-104, ,,4,130,104,26,2838.0
0:20.0,Turnover by Team (shot clock),130-104, ,,4,130,104,26,2860.0
0:00.0,End of 4th quarter,130-104,,,4,130,104,26,2880.0
