Time,Boston,Score,Phoenix,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:39.0,Turnover by J. Brown (traveling),62-50, ,,3,62,50,12,1461.0
11:28.0, ,62-52,B. Beal makes 2-pt jump shot from 16 ft,,3,62,52,10,1472.0
11:07.0,Turnover by J. Tatum (bad pass; steal by B. Beal),62-52, ,,3,62,52,10,1493.0
11:03.0, ,62-52,G. Allen misses 3-pt jump shot from 25 ft,,3,62,52,10,1497.0
10:59.0, ,62-52,Offensive rebound by R. O'Neale,,3,62,52,10,1501.0
10:55.0, ,62-52,R. O'Neale misses 3-pt jump shot from 25 ft,,3,62,52,10,1505.0
10:50.0,Defensive rebound by J. Tatum,62-52, ,,3,62,52,10,1510.0
10:44.0,J. Holiday misses 3-pt jump shot from 25 ft,62-52, ,,3,62,52,10,1516.0
10:42.0, ,62-52,Defensive rebound by K. Durant,,3,62,52,10,1518.0
10:34.0, ,62-55,K. Durant makes 3-pt jump shot from 26 ft,,3,62,55,7,1526.0
10:13.0,J. Tatum makes 3-pt jump shot from 27 ft (assist by D. White),65-55, ,,3,65,55,10,1547.0
10:00.0, ,65-58,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Nurkić),,3,65,58,7,1560.0
9:43.0,J. Tatum misses 3-pt jump shot from 25 ft,65-58, ,,3,65,58,7,1577.0
9:39.0, ,65-58,Defensive rebound by J. Nurkić,,3,65,58,7,1581.0
9:28.0, ,65-58,B. Beal misses 3-pt jump shot from 25 ft,,3,65,58,7,1592.0
9:24.0, ,65-58,Offensive rebound by J. Nurkić,,3,65,58,7,1596.0
9:24.0, ,65-60,J. Nurkić makes 2-pt layup at rim,,3,65,60,5,1596.0
9:24.0,Boston full timeout,65-60, ,,3,65,60,5,1596.0
9:06.0,A. Horford makes 2-pt dunk from 2 ft (assist by D. White),67-60, ,,3,67,60,7,1614.0
8:54.0, ,67-60,Offensive foul by G. Allen (drawn by D. White),,3,67,60,7,1626.0
8:54.0, ,67-60,Turnover by G. Allen (offensive foul),,3,67,60,7,1626.0
