Time,Boston,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:59.0, ,32-51,G. Antetokounmpo enters the game for M. Beasley,,2,32,51,-19,1141.0
4:59.0, ,32-51,P. Beverley enters the game for A. Green,,2,32,51,-19,1141.0
4:52.0, ,32-51,Personal foul by J. Brown (drawn by G. Antetokounmpo),,2,32,51,-19,1148.0
4:39.0, ,32-51,K. Middleton misses 2-pt jump shot from 18 ft,,2,32,51,-19,1161.0
4:37.0,Defensive rebound by J. Brown,32-51, ,,2,32,51,-19,1163.0
4:28.0,J. Holiday misses 3-pt jump shot from 25 ft,32-51, ,,2,32,51,-19,1172.0
4:26.0,Offensive rebound by J. Brown,32-51, ,,2,32,51,-19,1174.0
4:20.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by J. Tatum),35-51, ,,2,35,51,-16,1180.0
4:10.0, ,35-51,Turnover by D. Lillard (bad pass),,2,35,51,-16,1190.0
3:52.0,D. White misses 2-pt jump shot from 13 ft,35-51, ,,2,35,51,-16,1208.0
3:49.0, ,35-51,Defensive rebound by P. Beverley,,2,35,51,-16,1211.0
3:46.0, ,35-51,G. Antetokounmpo misses 2-pt layup from 3 ft,,2,35,51,-16,1214.0
3:44.0, ,35-51,Offensive rebound by Team,,2,35,51,-16,1216.0
3:37.0, ,35-51,D. Lillard misses 3-pt jump shot from 26 ft,,2,35,51,-16,1223.0
3:34.0,Defensive rebound by J. Brown,35-51, ,,2,35,51,-16,1226.0
3:25.0,L. Kornet makes 2-pt dunk at rim (assist by J. Holiday),37-51, ,,2,37,51,-14,1235.0
3:00.0, ,37-53,G. Antetokounmpo makes 2-pt dunk from 1 ft,,2,37,53,-16,1260.0
2:52.0,D. White misses 3-pt jump shot from 27 ft,37-53, ,,2,37,53,-16,1268.0
2:50.0, ,37-53,Defensive rebound by G. Antetokounmpo,,2,37,53,-16,1270.0
2:48.0, ,37-53,Turnover by G. Antetokounmpo (bad pass; steal by J. Brown),,2,37,53,-16,1272.0
2:45.0,J. Brown misses 2-pt dunk from 5 ft (block by G. Antetokounmpo),37-53, ,,2,37,53,-16,1275.0
2:44.0, ,37-53,Defensive rebound by K. Middleton,,2,37,53,-16,1276.0
2:34.0, ,37-56,B. Lopez makes 3-pt jump shot from 27 ft (assist by K. Middleton),,2,37,56,-19,1286.0
2:17.0,J. Tatum makes 2-pt dunk from 2 ft (assist by J. Brown),39-56, ,,2,39,56,-17,1303.0
2:06.0, ,39-56,P. Beverley misses 3-pt jump shot from 24 ft,,2,39,56,-17,1314.0
2:04.0,Defensive rebound by D. White,39-56, ,,2,39,56,-17,1316.0
1:56.0,J. Brown misses 3-pt jump shot from 23 ft,39-56, ,,2,39,56,-17,1324.0
1:52.0, ,39-56,Defensive rebound by B. Lopez,,2,39,56,-17,1328.0
1:32.0, ,39-58,P. Beverley makes 2-pt hook shot from 5 ft,,2,39,58,-19,1348.0
1:26.0,D. White misses 3-pt jump shot from 27 ft,39-58, ,,2,39,58,-19,1354.0
1:23.0, ,39-58,Defensive rebound by P. Beverley,,2,39,58,-19,1357.0
0:59.0, ,39-61,P. Beverley makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,2,39,61,-22,1381.0
0:50.0,Personal foul by G. Antetokounmpo (drawn by J. Tatum),39-61, ,,2,39,61,-22,1390.0
0:39.0,J. Tatum misses 3-pt jump shot from 27 ft,39-61, ,,2,39,61,-22,1401.0
0:35.0,Offensive rebound by Team,39-61, ,,2,39,61,-22,1405.0
0:31.0,J. Tatum makes 2-pt jump shot from 20 ft (assist by D. White),41-61, ,,2,41,61,-20,1409.0
0:12.0, ,41-61,G. Antetokounmpo misses 2-pt layup from 5 ft (block by J. Holiday),,2,41,61,-20,1428.0
0:11.0, ,41-61,Offensive rebound by G. Antetokounmpo,,2,41,61,-20,1429.0
0:09.0, ,41-63,G. Antetokounmpo makes 2-pt layup from 2 ft,,2,41,63,-22,1431.0
0:00.0,J. Holiday makes 2-pt layup from 1 ft,43-63, ,,2,43,63,-20,1440.0
0:00.0,Instant Replay (Request: Ruling Stands),43-63, ,,2,43,63,-20,1440.0
0:00.0,End of 2nd quarter,43-63,,,2,43,63,-20,1440.0
12:00.0,Start of 3rd quarter,43-63,,,3,43,63,-20,1440.0
11:36.0,J. Holiday makes 2-pt jump shot from 19 ft,45-63, ,,3,45,63,-18,1464.0
