Time,Boston,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:25.0,K. Porziņģis makes free throw 2 of 2,78-71, ,,3,78,71,7,1835.0
5:06.0, ,78-73,G. Hayward makes 2-pt jump shot from 8 ft (assist by I. Smith),,3,78,73,5,1854.0
4:48.0,S. Hauser misses 3-pt jump shot from 23 ft,78-73, ,,3,78,73,5,1872.0
4:45.0, ,78-73,Defensive rebound by M. Williams,,3,78,73,5,1875.0
4:40.0, ,78-75,G. Hayward makes 2-pt dunk from 1 ft (assist by B. Miller),,3,78,75,3,1880.0
4:20.0,J. Tatum misses 3-pt jump shot from 27 ft,78-75, ,,3,78,75,3,1900.0
4:20.0, ,78-75,Defensive rebound by P. Washington,,3,78,75,3,1900.0
4:11.0, ,78-75,Turnover by I. Smith (bad pass; steal by K. Porziņģis),,3,78,75,3,1909.0
4:04.0,S. Hauser misses 3-pt jump shot from 26 ft,78-75, ,,3,78,75,3,1916.0
4:00.0, ,78-75,Defensive rebound by M. Williams,,3,78,75,3,1920.0
3:42.0, ,78-77,M. Williams makes 2-pt dunk from 1 ft (assist by P. Washington),,3,78,77,1,1938.0
3:42.0,Boston full timeout,78-77, ,,3,78,77,1,1938.0
3:42.0,L. Kornet enters the game for S. Hauser,78-77, ,,3,78,77,1,1938.0
3:42.0,S. Mykhailiuk enters the game for K. Porziņģis,78-77, ,,3,78,77,1,1938.0
3:42.0, ,78-77,M. Bridges enters the game for M. Williams,,3,78,77,1,1938.0
3:27.0,J. Holiday makes 2-pt jump shot from 8 ft (assist by J. Tatum),80-77, ,,3,80,77,3,1953.0
3:09.0, ,80-77,B. Miller misses 2-pt jump shot from 8 ft,,3,80,77,3,1971.0
3:07.0,Defensive rebound by J. Holiday,80-77, ,,3,80,77,3,1973.0
2:53.0,J. Tatum misses 3-pt jump shot from 27 ft,80-77, ,,3,80,77,3,1987.0
2:50.0, ,80-77,Defensive rebound by M. Bridges,,3,80,77,3,1990.0
2:45.0, ,80-77,B. Miller misses 3-pt jump shot from 25 ft,,3,80,77,3,1995.0
2:42.0, ,80-77,Offensive rebound by G. Hayward,,3,80,77,3,1998.0
2:35.0, ,80-77,M. Bridges misses 3-pt jump shot from 23 ft,,3,80,77,3,2005.0
2:32.0,Defensive rebound by P. Pritchard,80-77, ,,3,80,77,3,2008.0
2:22.0,Turnover by J. Holiday (bad pass; steal by P. Washington),80-77, ,,3,80,77,3,2018.0
2:17.0, ,80-79,P. Washington makes 2-pt layup from 1 ft,,3,80,79,1,2023.0
1:54.0,J. Tatum makes 2-pt layup from 3 ft,82-79, ,,3,82,79,3,2046.0
1:39.0, ,82-79,G. Hayward misses 2-pt layup from 6 ft (block by J. Holiday),,3,82,79,3,2061.0
1:38.0, ,82-79,Offensive rebound by G. Hayward,,3,82,79,3,2062.0
1:35.0, ,82-79,G. Hayward misses 2-pt jump shot at rim (block by L. Kornet),,3,82,79,3,2065.0
1:32.0,Defensive rebound by L. Kornet,82-79, ,,3,82,79,3,2068.0
1:17.0,J. Holiday misses 2-pt layup from 3 ft,82-79, ,,3,82,79,3,2083.0
1:15.0,Offensive rebound by P. Pritchard,82-79, ,,3,82,79,3,2085.0
1:14.0,J. Holiday makes 2-pt layup from 2 ft (assist by P. Pritchard),84-79, ,,3,84,79,5,2086.0
0:54.0, ,84-79,Shooting foul by P. Pritchard (drawn by G. Hayward),,3,84,79,5,2106.0
0:54.0, ,84-80,G. Hayward makes free throw 1 of 2,,3,84,80,4,2106.0
0:54.0,O. Brissett enters the game for J. Holiday,84-80, ,,3,84,80,4,2106.0
0:54.0, ,84-80,L. Ball enters the game for I. Smith,,3,84,80,4,2106.0
0:54.0, ,84-81,G. Hayward makes free throw 2 of 2,,3,84,81,3,2106.0
0:33.0,J. Tatum makes 3-pt jump shot from 30 ft,87-81, ,,3,87,81,6,2127.0
0:11.0, ,87-81,Turnover by L. Ball (lost ball; steal by S. Mykhailiuk),,3,87,81,6,2149.0
0:01.0,J. Tatum misses 3-pt jump shot from 28 ft,87-81, ,,3,87,81,6,2159.0
0:01.0,Offensive rebound by Team,87-81, ,,3,87,81,6,2159.0
0:00.0,End of 3rd quarter,87-81,,,3,87,81,6,2160.0
12:00.0,Start of 4th quarter,87-81,,,4,87,81,6,2160.0
11:45.0,S. Hauser misses 3-pt jump shot from 28 ft,87-81, ,,4,87,81,6,2175.0
11:42.0, ,87-81,Defensive rebound by M. Bridges,,4,87,81,6,2178.0
11:28.0, ,87-81,M. Bridges misses 2-pt jump shot from 17 ft,,4,87,81,6,2192.0
11:25.0,Defensive rebound by P. Pritchard,87-81, ,,4,87,81,6,2195.0
11:04.0,S. Hauser misses 3-pt jump shot from 25 ft,87-81, ,,4,87,81,6,2216.0
11:01.0, ,87-81,Defensive rebound by M. Bridges,,4,87,81,6,2219.0
10:48.0, ,87-81,P. Washington misses 3-pt jump shot from 25 ft,,4,87,81,6,2232.0
10:45.0,Defensive rebound by L. Kornet,87-81, ,,4,87,81,6,2235.0
10:37.0,S. Hauser misses 3-pt jump shot from 26 ft,87-81, ,,4,87,81,6,2243.0
10:34.0, ,87-81,Defensive rebound by B. McGowens,,4,87,81,6,2246.0
10:22.0, ,87-81,B. McGowens misses 3-pt jump shot from 25 ft,,4,87,81,6,2258.0
10:18.0, ,87-81,Offensive rebound by L. Ball,,4,87,81,6,2262.0
10:18.0, ,87-83,L. Ball makes 2-pt layup at rim,,4,87,83,4,2262.0
10:08.0,P. Pritchard misses 2-pt jump shot from 8 ft,87-83, ,,4,87,83,4,2272.0
10:06.0, ,87-83,Defensive rebound by I. Smith,,4,87,83,4,2274.0
10:02.0, ,87-85,I. Smith makes 2-pt layup from 1 ft,,4,87,85,2,2278.0
10:02.0,Boston full timeout,87-85, ,,4,87,85,2,2278.0
9:49.0,P. Pritchard makes 3-pt jump shot from 27 ft (assist by S. Hauser),90-85, ,,4,90,85,5,2291.0
9:29.0, ,90-87,P. Washington makes 2-pt jump shot from 18 ft (assist by B. McGowens),,4,90,87,3,2311.0
9:15.0,Personal foul by P. Washington (drawn by L. Kornet),90-87, ,,4,90,87,3,2325.0
9:05.0,L. Kornet makes 2-pt layup from 3 ft (assist by P. Pritchard),92-87, ,,4,92,87,5,2335.0
8:50.0, ,92-87,B. McGowens misses 3-pt jump shot from 25 ft,,4,92,87,5,2350.0
8:50.0,Defensive rebound by O. Brissett,92-87, ,,4,92,87,5,2350.0
8:33.0,P. Pritchard misses 2-pt jump shot from 22 ft,92-87, ,,4,92,87,5,2367.0
8:30.0,Offensive rebound by O. Brissett,92-87, ,,4,92,87,5,2370.0
8:21.0,P. Pritchard makes 2-pt layup from 2 ft,94-87, ,,4,94,87,7,2379.0
8:04.0, ,94-89,I. Smith makes 2-pt jump shot from 9 ft (assist by L. Ball),,4,94,89,5,2396.0
7:49.0,S. Mykhailiuk misses 3-pt jump shot from 27 ft,94-89, ,,4,94,89,5,2411.0
7:46.0, ,94-89,Defensive rebound by M. Bridges,,4,94,89,5,2414.0
7:39.0, ,94-89,L. Ball misses 3-pt jump shot from 27 ft,,4,94,89,5,2421.0
7:37.0,Defensive rebound by P. Pritchard,94-89, ,,4,94,89,5,2423.0
7:20.0,S. Mykhailiuk makes 3-pt jump shot from 22 ft (assist by P. Pritchard),97-89, ,,4,97,89,8,2440.0
6:58.0, ,97-89,M. Bridges misses 2-pt layup from 1 ft,,4,97,89,8,2462.0
6:56.0,Defensive rebound by O. Brissett,97-89, ,,4,97,89,8,2464.0
6:56.0,J. Brown enters the game for O. Brissett,97-89, ,,4,97,89,8,2464.0
6:56.0,K. Porziņģis enters the game for L. Kornet,97-89, ,,4,97,89,8,2464.0
6:56.0,J. Tatum enters the game for S. Mykhailiuk,97-89, ,,4,97,89,8,2464.0
6:56.0, ,97-89,G. Hayward enters the game for B. McGowens,,4,97,89,8,2464.0
6:56.0, ,97-89,M. Williams enters the game for P. Washington,,4,97,89,8,2464.0
6:35.0,Jump ball: P. Pritchard vs. I. Smith (K. Porziņģis gains possession),97-89,,,4,97,89,8,2485.0
6:34.0,K. Porziņģis misses 2-pt jump shot from 17 ft,97-89, ,,4,97,89,8,2486.0
6:32.0, ,97-89,Defensive rebound by I. Smith,,4,97,89,8,2488.0
6:25.0, ,97-89,I. Smith misses 2-pt jump shot from 13 ft,,4,97,89,8,2495.0
6:23.0,Defensive rebound by J. Tatum,97-89, ,,4,97,89,8,2497.0
6:07.0,S. Hauser makes 3-pt jump shot from 27 ft (assist by J. Tatum),100-89, ,,4,100,89,11,2513.0
6:06.0, ,100-89,Charlotte full timeout,,4,100,89,11,2514.0
6:06.0, ,100-89,B. Miller enters the game for I. Smith,,4,100,89,11,2514.0
5:51.0, ,100-89,L. Ball misses 2-pt layup from 4 ft (block by K. Porziņģis),,4,100,89,11,2529.0
5:47.0, ,100-89,Offensive rebound by M. Williams,,4,100,89,11,2533.0
5:44.0, ,100-91,B. Miller makes 2-pt jump shot from 16 ft (assist by M. Williams),,4,100,91,9,2536.0
5:27.0,J. Tatum misses 2-pt layup from 2 ft (block by G. Hayward),100-91, ,,4,100,91,9,2553.0
5:27.0, ,100-91,Defensive rebound by Team,,4,100,91,9,2553.0
5:26.0, ,100-91,Charlotte full timeout,,4,100,91,9,2554.0
5:26.0, ,100-91,Instant Replay (Challenge: Ruling Stands),,4,100,91,9,2554.0
5:26.0,J. Holiday enters the game for P. Pritchard,100-91, ,,4,100,91,9,2554.0
5:16.0, ,100-91,Turnover by L. Ball (bad pass),,4,100,91,9,2564.0
4:57.0,K. Porziņģis misses 3-pt jump shot from 25 ft,100-91, ,,4,100,91,9,2583.0
4:54.0, ,100-91,Defensive rebound by M. Bridges,,4,100,91,9,2586.0
4:46.0, ,100-91,Turnover by B. Miller (bad pass; steal by K. Porziņģis),,4,100,91,9,2594.0
4:25.0,J. Tatum misses 2-pt jump shot from 14 ft,100-91, ,,4,100,91,9,2615.0
4:23.0, ,100-91,Defensive rebound by M. Bridges,,4,100,91,9,2617.0
4:17.0, ,100-94,G. Hayward makes 3-pt jump shot from 23 ft (assist by B. Miller),,4,100,94,6,2623.0
3:55.0,S. Hauser misses 3-pt jump shot from 27 ft,100-94, ,,4,100,94,6,2645.0
3:53.0,Offensive rebound by J. Holiday,100-94, ,,4,100,94,6,2647.0
3:50.0,J. Brown misses 2-pt dunk from 3 ft (block by M. Williams),100-94, ,,4,100,94,6,2650.0
3:50.0,Offensive rebound by K. Porziņģis,100-94, ,,4,100,94,6,2650.0
3:50.0,K. Porziņģis makes 2-pt layup from 4 ft,102-94, ,,4,102,94,8,2650.0
3:50.0,Shooting foul by B. Miller (drawn by K. Porziņģis),102-94, ,,4,102,94,8,2650.0
3:50.0,K. Porziņģis makes free throw 1 of 1,103-94, ,,4,103,94,9,2650.0
3:34.0, ,103-96,M. Williams makes 2-pt dunk from 2 ft (assist by L. Ball),,4,103,96,7,2666.0
3:13.0,J. Tatum makes 2-pt layup from 2 ft,105-96, ,,4,105,96,9,2687.0
3:01.0, ,105-99,B. Miller makes 3-pt jump shot from 24 ft (assist by L. Ball),,4,105,99,6,2699.0
2:46.0,Turnover by J. Holiday (lost ball; steal by L. Ball),105-99, ,,4,105,99,6,2714.0
2:41.0, ,105-99,L. Ball misses 3-pt jump shot from 24 ft,,4,105,99,6,2719.0
2:38.0,Defensive rebound by J. Holiday,105-99, ,,4,105,99,6,2722.0
2:20.0,J. Holiday makes 3-pt jump shot from 27 ft (assist by J. Brown),108-99, ,,4,108,99,9,2740.0
2:03.0, ,108-99,G. Hayward misses 2-pt layup from 2 ft,,4,108,99,9,2757.0
1:59.0, ,108-99,Offensive rebound by M. Williams,,4,108,99,9,2761.0
1:59.0, ,108-101,M. Williams makes 2-pt layup at rim,,4,108,101,7,2761.0
1:41.0,J. Brown misses 2-pt jump shot from 11 ft,108-101, ,,4,108,101,7,2779.0
1:38.0, ,108-101,Defensive rebound by M. Bridges,,4,108,101,7,2782.0
1:32.0, ,108-104,L. Ball makes 3-pt jump shot from 26 ft (assist by G. Hayward),,4,108,104,4,2788.0
1:09.0,J. Brown misses 3-pt jump shot from 28 ft,108-104, ,,4,108,104,4,2811.0
1:09.0,Offensive rebound by Team,108-104, ,,4,108,104,4,2811.0
1:09.0, ,108-104,Loose ball foul by L. Ball (drawn by K. Porziņģis),,4,108,104,4,2811.0
0:56.0,J. Tatum misses 2-pt layup from 3 ft,108-104, ,,4,108,104,4,2824.0
0:53.0, ,108-104,Defensive rebound by M. Bridges,,4,108,104,4,2827.0
0:34.0, ,108-104,M. Williams misses 2-pt dunk from 1 ft (block by K. Porziņģis),,4,108,104,4,2846.0
0:33.0, ,108-104,Offensive rebound by M. Williams,,4,108,104,4,2847.0
0:33.0, ,108-106,M. Williams makes 2-pt layup from 1 ft,,4,108,106,2,2847.0
0:10.0, ,108-106,Loose ball foul by L. Ball (drawn by K. Porziņģis),,4,108,106,2,2870.0
0:10.0,J. Holiday misses free throw 1 of 2,108-106, ,,4,108,106,2,2870.0
0:10.0,Offensive rebound by Team,108-106, ,,4,108,106,2,2870.0
0:10.0,J. Holiday misses free throw 2 of 2,108-106, ,,4,108,106,2,2870.0
0:10.0, ,108-106,Defensive rebound by Team,,4,108,106,2,2870.0
0:10.0, ,108-106,Charlotte full timeout,,4,108,106,2,2870.0
0:10.0,O. Brissett enters the game for K. Porziņģis,108-106, ,,4,108,106,2,2870.0
0:10.0, ,108-106,P. Washington enters the game for M. Williams,,4,108,106,2,2870.0
0:07.0, ,108-108,L. Ball makes 2-pt layup from 2 ft (assist by G. Hayward),Tie,4,108,108,0,2873.0
0:07.0,Boston full timeout,108-108, ,,4,108,108,0,2873.0
0:07.0,K. Porziņģis enters the game for O. Brissett,108-108, ,,4,108,108,0,2873.0
0:07.0, ,108-108,M. Williams enters the game for P. Washington,,4,108,108,0,2873.0
0:00.0,S. Hauser misses 3-pt jump shot from 26 ft,108-108, ,,4,108,108,0,2880.0
0:00.0,Offensive rebound by Team,108-108, ,,4,108,108,0,2880.0
0:00.0,End of 4th quarter,108-108,,,4,108,108,0,2880.0
5:00.0,Start of 1st overtime,108-108,,,5,108,108,0,2880.0
5:00.0,Jump ball: K. Porziņģis vs. M. Williams (J. Brown gains possession),108-108,,,5,108,108,0,2880.0
4:43.0,J. Brown makes 2-pt jump shot from 9 ft,110-108, ,,5,110,108,2,2897.0
4:26.0, ,110-110,L. Ball makes 2-pt jump shot from 10 ft,Tie,5,110,110,0,2914.0
4:10.0,P. Pritchard misses 3-pt jump shot from 23 ft,110-110, ,,5,110,110,0,2930.0
4:10.0, ,110-110,Defensive rebound by M. Bridges,,5,110,110,0,2930.0
3:58.0, ,110-110,L. Ball misses 2-pt jump shot from 1 ft,,5,110,110,0,2942.0
3:56.0,Defensive rebound by P. Pritchard,110-110, ,,5,110,110,0,2944.0
3:51.0,Shooting foul by M. Williams (drawn by J. Brown),110-110, ,,5,110,110,0,2949.0
3:51.0,J. Brown misses free throw 1 of 2,110-110, ,,5,110,110,0,2949.0
3:51.0,Offensive rebound by Team,110-110, ,,5,110,110,0,2949.0
3:51.0,J. Brown makes free throw 2 of 2,111-110, ,,5,111,110,1,2949.0
3:35.0, ,111-112,L. Ball makes 2-pt layup from 2 ft,Lead change,5,111,112,-1,2965.0
3:18.0,J. Tatum misses 2-pt layup from 2 ft,111-112, ,,5,111,112,-1,2982.0
3:16.0, ,111-112,Defensive rebound by B. Miller,,5,111,112,-1,2984.0
3:10.0, ,111-112,L. Ball misses 3-pt jump shot from 25 ft,,5,111,112,-1,2990.0
3:10.0, ,111-112,Offensive rebound by Team,,5,111,112,-1,2990.0
3:10.0,Loose ball foul by K. Porziņģis (drawn by M. Williams),111-112, ,,5,111,112,-1,2990.0
3:00.0, ,111-112,M. Williams misses 2-pt layup from 3 ft (block by J. Tatum),,5,111,112,-1,3000.0
3:00.0, ,111-112,Offensive rebound by Team,,5,111,112,-1,3000.0
2:59.0, ,111-112,Turnover by L. Ball (step out of bounds),,5,111,112,-1,3001.0
2:38.0,J. Brown misses 2-pt jump shot from 19 ft,111-112, ,,5,111,112,-1,3022.0
2:33.0,Offensive rebound by K. Porziņģis,111-112, ,,5,111,112,-1,3027.0
2:33.0,K. Porziņģis makes 2-pt dunk at rim,113-112, ,Lead change,5,113,112,1,3027.0
2:18.0, ,113-112,M. Williams misses 2-pt jump shot from 4 ft,,5,113,112,1,3042.0
2:16.0, ,113-112,Offensive rebound by B. Miller,,5,113,112,1,3044.0
2:13.0, ,113-114,G. Hayward makes 2-pt jump shot from 14 ft (assist by B. Miller),Lead change,5,113,114,-1,3047.0
1:54.0, ,113-114,Violation by Team (kicked ball),,5,113,114,-1,3066.0
1:40.0,P. Pritchard misses 2-pt jump shot from 14 ft (block by M. Williams),113-114, ,,5,113,114,-1,3080.0
1:40.0,Offensive rebound by Team,113-114, ,,5,113,114,-1,3080.0
1:40.0,Turnover by Team (shot clock),113-114, ,,5,113,114,-1,3080.0
1:21.0, ,113-114,G. Hayward misses 2-pt jump shot from 7 ft,,5,113,114,-1,3099.0
1:19.0,Defensive rebound by J. Tatum,113-114, ,,5,113,114,-1,3101.0
1:04.0,K. Porziņģis misses 3-pt jump shot from 26 ft,113-114, ,,5,113,114,-1,3116.0
1:01.0,Offensive rebound by J. Holiday,113-114, ,,5,113,114,-1,3119.0
0:57.0,J. Tatum makes 3-pt jump shot from 27 ft (assist by J. Brown),116-114, ,Lead change,5,116,114,2,3123.0
0:45.0, ,116-116,G. Hayward makes 2-pt dunk from 1 ft (assist by L. Ball),Tie,5,116,116,0,3135.0
0:30.0,J. Brown misses 3-pt jump shot from 30 ft,116-116, ,,5,116,116,0,3150.0
0:28.0, ,116-116,Defensive rebound by M. Williams,,5,116,116,0,3152.0
0:28.0, ,116-116,Charlotte full timeout,,5,116,116,0,3152.0
0:28.0,S. Hauser enters the game for P. Pritchard,116-116, ,,5,116,116,0,3152.0
0:06.0, ,116-119,M. Bridges makes 3-pt jump shot from 25 ft (assist by L. Ball),Lead change,5,116,119,-3,3174.0
0:06.0,Boston full timeout,116-119, ,,5,116,119,-3,3174.0
0:06.0, ,116-119,P. Washington enters the game for M. Williams,,5,116,119,-3,3174.0
0:05.0,Shooting foul by G. Hayward (drawn by J. Tatum),116-119, ,,5,116,119,-3,3175.0
0:05.0,J. Tatum makes free throw 1 of 3,117-119, ,,5,117,119,-2,3175.0
0:05.0,J. Tatum makes free throw 2 of 3,118-119, ,,5,118,119,-1,3175.0
0:05.0, ,118-119,M. Williams enters the game for P. Washington,,5,118,119,-1,3175.0
0:05.0,J. Tatum misses free throw 3 of 3,118-119, ,,5,118,119,-1,3175.0
0:01.0, ,118-119,Defensive rebound by M. Bridges,,5,118,119,-1,3179.0
0:01.0, ,118-119,Personal foul by J. Holiday (drawn by M. Bridges),,5,118,119,-1,3179.0
0:00.0, ,118-119,Personal foul by S. Hauser (drawn by G. Hayward),,5,118,119,-1,3180.0
0:00.0, ,118-120,G. Hayward makes free throw 1 of 2,,5,118,120,-2,3180.0
0:00.0, ,118-121,G. Hayward makes free throw 2 of 2,,5,118,121,-3,3180.0
0:00.0,Boston full timeout,118-121, ,,5,118,121,-3,3180.0
0:00.0, ,118-121,P. Washington enters the game for L. Ball,,5,118,121,-3,3180.0
0:00.0,Turnover by J. Holiday (bad pass; steal by M. Bridges),118-121, ,,5,118,121,-3,3180.0
0:00.0,End of 1st overtime,118-121,,,5,118,121,-3,3180.0
