Time,Boston,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:29.0,P. Pritchard makes 2-pt jump shot from 8 ft (assist by L. Kornet),34-34, ,Tie,2,34,34,0,871.0
9:08.0, ,34-34,G. Williams misses 2-pt jump shot from 16 ft,,2,34,34,0,892.0
9:06.0,Defensive rebound by J. Holiday,34-34, ,,2,34,34,0,894.0
8:53.0,J. Holiday misses 2-pt layup from 1 ft,34-34, ,,2,34,34,0,907.0
8:52.0, ,34-34,Defensive rebound by Team,,2,34,34,0,908.0
8:52.0, ,34-34,B. Miller enters the game for A. Pokusevski,,2,34,34,0,908.0
8:36.0, ,34-34,Offensive foul by T. Mann (drawn by D. White),,2,34,34,0,924.0
8:36.0, ,34-34,Turnover by T. Mann (offensive foul),,2,34,34,0,924.0
8:21.0,P. Pritchard makes 2-pt jump shot from 21 ft (assist by D. White),36-34, ,Lead change,2,36,34,2,939.0
8:07.0, ,36-36,T. Mann makes 2-pt jump shot from 11 ft,Tie,2,36,36,0,953.0
8:03.0,Shooting foul by B. Miller (drawn by P. Pritchard),36-36, ,,2,36,36,0,957.0
8:03.0,P. Pritchard makes free throw 1 of 2,37-36, ,,2,37,36,1,957.0
8:03.0,X. Tillman enters the game for L. Kornet,37-36, ,,2,37,36,1,957.0
8:03.0, ,37-36,M. Bridges enters the game for T. Mann,,2,37,36,1,957.0
8:03.0, ,37-36,V. Micić enters the game for J. Thor,,2,37,36,1,957.0
8:03.0,P. Pritchard misses free throw 2 of 2,37-36, ,,2,37,36,1,957.0
8:01.0, ,37-36,Defensive rebound by G. Williams,,2,37,36,1,959.0
7:49.0, ,37-36,V. Micić misses 2-pt layup from 2 ft,,2,37,36,1,971.0
7:45.0, ,37-36,Offensive rebound by G. Williams,,2,37,36,1,975.0
7:37.0, ,37-38,V. Micić makes 2-pt jump shot from 5 ft,Lead change,2,37,38,-1,983.0
7:21.0,J. Holiday misses 3-pt jump shot from 23 ft,37-38, ,,2,37,38,-1,999.0
7:21.0, ,37-38,Defensive rebound by M. Bridges,,2,37,38,-1,999.0
7:13.0, ,37-40,M. Bridges makes 2-pt layup at rim,,2,37,40,-3,1007.0
6:57.0,D. White makes 3-pt jump shot from 22 ft (assist by P. Pritchard),40-40, ,Tie,2,40,40,0,1023.0
6:46.0, ,40-42,D. Bertāns makes 2-pt layup from 2 ft (assist by V. Micić),,2,40,42,-2,1034.0
6:27.0,D. White makes 3-pt jump shot from 22 ft (assist by X. Tillman),43-42, ,Lead change,2,43,42,1,1053.0
6:10.0, ,43-42,Personal foul by J. Holiday (drawn by V. Micić),,2,43,42,1,1070.0
6:10.0, ,43-42,Charlotte full timeout,,2,43,42,1,1070.0
6:10.0,J. Tatum enters the game for J. Holiday,43-42, ,,2,43,42,1,1070.0
6:03.0, ,43-44,B. Miller makes 2-pt jump shot from 6 ft (assist by V. Micić),Lead change,2,43,44,-1,1077.0
6:03.0, ,43-44,Shooting foul by X. Tillman (drawn by B. Miller),,2,43,44,-1,1077.0
6:03.0, ,43-45,B. Miller makes free throw 1 of 1,,2,43,45,-2,1077.0
5:48.0,A. Horford makes 3-pt jump shot from 23 ft (assist by J. Tatum),46-45, ,Lead change,2,46,45,1,1092.0
5:30.0, ,46-45,M. Bridges misses 2-pt jump shot from 16 ft,,2,46,45,1,1110.0
5:28.0, ,46-45,Offensive rebound by G. Williams,,2,46,45,1,1112.0
5:24.0, ,46-45,B. Miller misses 3-pt jump shot from 26 ft,,2,46,45,1,1116.0
5:22.0,Defensive rebound by D. White,46-45, ,,2,46,45,1,1118.0
5:15.0,A. Horford misses 3-pt jump shot from 25 ft,46-45, ,,2,46,45,1,1125.0
5:13.0, ,46-45,Defensive rebound by B. Miller,,2,46,45,1,1127.0
5:06.0, ,46-45,B. Miller misses 2-pt jump shot from 10 ft (block by D. White),,2,46,45,1,1134.0
5:02.0,Defensive rebound by X. Tillman,46-45, ,,2,46,45,1,1138.0
4:54.0,J. Tatum misses 2-pt jump shot from 15 ft,46-45, ,,2,46,45,1,1146.0
4:52.0,Offensive rebound by Team,46-45, ,,2,46,45,1,1148.0
4:52.0,K. Porziņģis enters the game for X. Tillman,46-45, ,,2,46,45,1,1148.0
4:52.0,Boston full timeout,46-45, ,,2,46,45,1,1148.0
4:52.0,X. Tillman enters the game for K. Porziņģis,46-45, ,,2,46,45,1,1148.0
4:52.0,Instant Replay (Challenge: Ruling Stands),46-45, ,,2,46,45,1,1148.0
4:40.0,K. Porziņģis makes 2-pt jump shot from 14 ft,48-45, ,,2,48,45,3,1160.0
4:18.0, ,48-45,D. Bertāns misses 3-pt jump shot from 27 ft,,2,48,45,3,1182.0
4:17.0, ,48-45,Offensive rebound by M. Bridges,,2,48,45,3,1183.0
4:14.0, ,48-45,M. Bridges misses 2-pt layup from 1 ft,,2,48,45,3,1186.0
4:12.0,Defensive rebound by K. Porziņģis,48-45, ,,2,48,45,3,1188.0
4:04.0,J. Tatum makes 3-pt jump shot from 24 ft (assist by D. White),51-45, ,,2,51,45,6,1196.0
3:49.0, ,51-47,V. Micić makes 2-pt layup from 3 ft,,2,51,47,4,1211.0
3:25.0,J. Tatum misses 2-pt jump shot from 17 ft,51-47, ,,2,51,47,4,1235.0
3:23.0, ,51-47,Defensive rebound by G. Williams,,2,51,47,4,1237.0
3:08.0, ,51-47,G. Williams misses 3-pt jump shot from 26 ft,,2,51,47,4,1252.0
3:06.0,Defensive rebound by J. Tatum,51-47, ,,2,51,47,4,1254.0
3:01.0,Offensive foul by K. Porziņģis (drawn by G. Williams),51-47, ,,2,51,47,4,1259.0
3:01.0,Turnover by K. Porziņģis (offensive foul),51-47, ,,2,51,47,4,1259.0
3:01.0,S. Hauser enters the game for A. Horford,51-47, ,,2,51,47,4,1259.0
3:01.0,J. Holiday enters the game for P. Pritchard,51-47, ,,2,51,47,4,1259.0
3:01.0, ,51-47,M. Bolden enters the game for D. Bertāns,,2,51,47,4,1259.0
3:01.0, ,51-47,T. Mann enters the game for G. Williams,,2,51,47,4,1259.0
2:48.0, ,51-49,M. Bridges makes 2-pt layup from 1 ft (assist by V. Micić),,2,51,49,2,1272.0
2:31.0,D. White misses 2-pt jump shot from 2 ft,51-49, ,,2,51,49,2,1289.0
2:22.0, ,51-49,Defensive rebound by T. Mann,,2,51,49,2,1298.0
2:19.0, ,51-49,V. Micić misses 3-pt jump shot from 26 ft,,2,51,49,2,1301.0
2:15.0, ,51-49,Offensive rebound by M. Bolden,,2,51,49,2,1305.0
2:15.0, ,51-51,M. Bolden makes 2-pt layup at rim,Tie,2,51,51,0,1305.0
2:04.0,S. Hauser misses 3-pt jump shot from 23 ft,51-51, ,,2,51,51,0,1316.0
2:04.0,Offensive rebound by D. White,51-51, ,,2,51,51,0,1316.0
1:49.0,J. Tatum misses 2-pt jump shot from 12 ft,51-51, ,,2,51,51,0,1331.0
1:43.0,Offensive rebound by K. Porziņģis,51-51, ,,2,51,51,0,1337.0
1:43.0,K. Porziņģis makes 2-pt layup at rim,53-51, ,,2,53,51,2,1337.0
1:37.0, ,53-53,V. Micić makes 2-pt jump shot from 16 ft,Tie,2,53,53,0,1343.0
1:30.0,Turnover by J. Holiday (step out of bounds),53-53, ,,2,53,53,0,1350.0
1:17.0, ,53-53,M. Bolden misses 2-pt jump shot from 5 ft,,2,53,53,0,1363.0
1:15.0,Defensive rebound by J. Tatum,53-53, ,,2,53,53,0,1365.0
1:08.0,J. Tatum makes 2-pt dunk from 1 ft,55-53, ,,2,55,53,2,1372.0
0:59.0, ,55-53,Turnover by M. Bridges (bad pass),,2,55,53,2,1381.0
0:38.0,K. Porziņģis makes 2-pt layup from 2 ft (assist by J. Holiday),57-53, ,,2,57,53,4,1402.0
0:21.0, ,57-53,V. Micić misses 3-pt jump shot from 26 ft,,2,57,53,4,1419.0
0:19.0,Defensive rebound by D. White,57-53, ,,2,57,53,4,1421.0
0:04.0,Shooting foul by B. Miller (drawn by J. Tatum),57-53, ,,2,57,53,4,1436.0
0:04.0,J. Tatum makes free throw 1 of 2,58-53, ,,2,58,53,5,1436.0
0:04.0,J. Tatum makes free throw 2 of 2,59-53, ,,2,59,53,6,1436.0
0:04.0,P. Pritchard enters the game for J. Holiday,59-53, ,,2,59,53,6,1436.0
0:02.0, ,59-53,Personal take foul by D. White (drawn by T. Mann),,2,59,53,6,1438.0
0:00.0, ,59-53,M. Bridges misses 3-pt jump shot from 27 ft (block by J. Tatum),,2,59,53,6,1440.0
0:00.0,Defensive rebound by S. Hauser,59-53, ,,2,59,53,6,1440.0
0:00.0,End of 2nd quarter,59-53,,,2,59,53,6,1440.0
12:00.0,Start of 3rd quarter,59-53,,,3,59,53,6,1440.0
11:42.0, ,59-55,G. Williams makes 2-pt layup from 2 ft,,3,59,55,4,1458.0
11:18.0,A. Horford makes 2-pt layup from 2 ft (assist by D. White),61-55, ,,3,61,55,6,1482.0
11:03.0, ,61-58,G. Williams makes 3-pt jump shot from 25 ft (assist by T. Mann),,3,61,58,3,1497.0
10:37.0,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by J. Tatum),64-58, ,,3,64,58,6,1523.0
10:21.0, ,64-58,Personal foul by D. White (drawn by B. Miller),,3,64,58,6,1539.0
10:07.0, ,64-60,G. Williams makes 2-pt layup at rim (assist by T. Mann),,3,64,60,4,1553.0
9:56.0,J. Holiday misses 3-pt jump shot from 27 ft,64-60, ,,3,64,60,4,1564.0
9:53.0, ,64-60,Defensive rebound by M. Bridges,,3,64,60,4,1567.0
9:47.0, ,64-60,M. Bridges misses 2-pt layup from 2 ft,,3,64,60,4,1573.0
9:44.0,Defensive rebound by K. Porziņģis,64-60, ,,3,64,60,4,1576.0
9:43.0,D. White makes 2-pt layup from 1 ft (assist by J. Holiday),66-60, ,,3,66,60,6,1577.0
9:43.0,Shooting foul by V. Micić (drawn by D. White),66-60, ,,3,66,60,6,1577.0
9:43.0,D. White makes free throw 1 of 1,67-60, ,,3,67,60,7,1577.0
9:26.0, ,67-62,B. Miller makes 2-pt jump shot from 15 ft (assist by G. Williams),,3,67,62,5,1594.0
9:07.0,A. Horford misses 2-pt hook shot from 4 ft,67-62, ,,3,67,62,5,1613.0
9:05.0, ,67-62,Defensive rebound by Team,,3,67,62,5,1615.0
8:51.0, ,67-62,Turnover by T. Mann (traveling),,3,67,62,5,1629.0
8:38.0,A. Horford makes 3-pt jump shot from 24 ft (assist by D. White),70-62, ,,3,70,62,8,1642.0
8:21.0, ,70-62,M. Bridges misses 3-pt jump shot from 26 ft,,3,70,62,8,1659.0
8:19.0,Defensive rebound by J. Tatum,70-62, ,,3,70,62,8,1661.0
8:14.0,Offensive foul by J. Tatum (drawn by G. Williams),70-62, ,,3,70,62,8,1666.0
8:14.0,Turnover by J. Tatum (offensive foul),70-62, ,,3,70,62,8,1666.0
7:57.0, ,70-62,G. Williams misses 2-pt layup from 2 ft,,3,70,62,8,1683.0
7:55.0,Defensive rebound by A. Horford,70-62, ,,3,70,62,8,1685.0
7:45.0,J. Tatum makes 2-pt layup from 1 ft,72-62, ,,3,72,62,10,1695.0
