Time,Boston,Score,Portland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:59.0, ,62-52,D. Ayton makes 2-pt jump shot from 11 ft (assist by D. Banton),,2,62,52,10,1321.0
1:39.0,Shooting foul by A. Simons (drawn by J. Tatum),62-52, ,,2,62,52,10,1341.0
1:39.0,J. Tatum makes free throw 1 of 2,63-52, ,,2,63,52,11,1341.0
1:39.0, ,63-52,J. Grant enters the game for K. Murray,,2,63,52,11,1341.0
1:39.0,J. Tatum makes free throw 2 of 2,64-52, ,,2,64,52,12,1341.0
1:14.0, ,64-52,Turnover by A. Simons (bad pass; steal by D. White),,2,64,52,12,1366.0
0:57.0,J. Brown makes 2-pt jump shot from 3 ft (assist by J. Tatum),66-52, ,,2,66,52,14,1383.0
0:41.0, ,66-52,D. Banton misses 2-pt jump shot from 11 ft,,2,66,52,14,1399.0
0:38.0,Defensive rebound by J. Brown,66-52, ,,2,66,52,14,1402.0
0:33.0,J. Brown misses 3-pt jump shot from 25 ft,66-52, ,,2,66,52,14,1407.0
0:29.0, ,66-52,Defensive rebound by D. Ayton,,2,66,52,14,1411.0
0:06.0, ,66-52,A. Simons misses 3-pt jump shot from 32 ft,,2,66,52,14,1434.0
0:03.0,Defensive rebound by D. White,66-52, ,,2,66,52,14,1437.0
0:00.0,D. White misses 3-pt jump shot from 28 ft,66-52, ,,2,66,52,14,1440.0
0:00.0,Offensive rebound by Team,66-52, ,,2,66,52,14,1440.0
0:00.0,End of 2nd quarter,66-52,,,2,66,52,14,1440.0
12:00.0,Start of 3rd quarter,66-52,,,3,66,52,14,1440.0
11:48.0, ,66-52,Turnover by S. Henderson (bad pass; steal by J. Brown),,3,66,52,14,1452.0
11:45.0,J. Brown makes 2-pt layup from 3 ft,68-52, ,,3,68,52,16,1455.0
11:27.0, ,68-54,D. Ayton makes 2-pt dunk from 2 ft (assist by S. Henderson),,3,68,54,14,1473.0
11:07.0,D. White misses 2-pt jump shot from 7 ft,68-54, ,,3,68,54,14,1493.0
11:05.0, ,68-54,Defensive rebound by K. Murray,,3,68,54,14,1495.0
11:05.0, ,68-54,Personal foul by D. White (drawn by K. Murray),,3,68,54,14,1495.0
11:00.0, ,68-54,Turnover by S. Henderson (bad pass),,3,68,54,14,1500.0
10:47.0,J. Brown makes 2-pt layup from 6 ft,70-54, ,,3,70,54,16,1513.0
10:38.0, ,70-56,A. Simons makes 2-pt layup from 6 ft,,3,70,56,14,1522.0
10:13.0,J. Brown misses 2-pt jump shot from 17 ft,70-56, ,,3,70,56,14,1547.0
10:09.0, ,70-56,Defensive rebound by K. Murray,,3,70,56,14,1551.0
10:04.0, ,70-58,K. Murray makes 2-pt jump shot from 10 ft,,3,70,58,12,1556.0
9:43.0,J. Tatum misses 2-pt layup from 4 ft,70-58, ,,3,70,58,12,1577.0
9:41.0, ,70-58,Defensive rebound by D. Ayton,,3,70,58,12,1579.0
9:33.0, ,70-58,S. Henderson misses 3-pt jump shot from 25 ft,,3,70,58,12,1587.0
9:29.0,Defensive rebound by P. Pritchard,70-58, ,,3,70,58,12,1591.0
9:26.0,J. Tatum makes 2-pt dunk from 3 ft (assist by J. Brown),72-58, ,,3,72,58,14,1594.0
9:09.0, ,72-60,J. Grant makes 2-pt hook shot from 4 ft,,3,72,60,12,1611.0
8:44.0,J. Tatum makes 2-pt layup from 9 ft (assist by P. Pritchard),74-60, ,,3,74,60,14,1636.0
8:35.0, ,74-60,A. Simons misses 2-pt layup from 3 ft (block by A. Horford),,3,74,60,14,1645.0
8:31.0,Defensive rebound by J. Brown,74-60, ,,3,74,60,14,1649.0
8:27.0,J. Brown makes 2-pt layup from 3 ft,76-60, ,,3,76,60,16,1653.0
8:27.0, ,76-60,Portland full timeout,,3,76,60,16,1653.0
8:13.0, ,76-60,A. Simons misses 2-pt layup from 8 ft (block by A. Horford),,3,76,60,16,1667.0
8:11.0,Defensive rebound by P. Pritchard,76-60, ,,3,76,60,16,1669.0
8:06.0,J. Brown makes 2-pt layup from 5 ft (assist by P. Pritchard),78-60, ,,3,78,60,18,1674.0
7:47.0, ,78-60,Turnover by S. Henderson (bad pass; steal by A. Horford),,3,78,60,18,1693.0
7:44.0,Shooting foul by A. Simons (drawn by J. Tatum),78-60, ,,3,78,60,18,1696.0
7:44.0,J. Tatum makes free throw 1 of 2,79-60, ,,3,79,60,19,1696.0
7:44.0, ,79-60,T. Camara enters the game for S. Henderson,,3,79,60,19,1696.0
7:44.0, ,79-60,M. Thybulle enters the game for K. Murray,,3,79,60,19,1696.0
7:44.0,J. Tatum misses free throw 2 of 2,79-60, ,,3,79,60,19,1696.0
7:41.0, ,79-60,Defensive rebound by D. Ayton,,3,79,60,19,1699.0
7:25.0, ,79-62,T. Camara makes 2-pt layup from 3 ft (assist by M. Thybulle),,3,79,62,17,1715.0
7:03.0,J. Brown misses 2-pt jump shot from 6 ft,79-62, ,,3,79,62,17,1737.0
7:02.0,Offensive rebound by D. White,79-62, ,,3,79,62,17,1738.0
7:02.0,D. White misses 2-pt layup from 2 ft,79-62, ,,3,79,62,17,1738.0
7:00.0,Offensive rebound by J. Brown,79-62, ,,3,79,62,17,1740.0
7:00.0,J. Brown misses 2-pt layup from 2 ft,79-62, ,,3,79,62,17,1740.0
6:59.0, ,79-62,Defensive rebound by T. Camara,,3,79,62,17,1741.0
6:58.0, ,79-62,Personal foul by D. White (drawn by T. Camara),,3,79,62,17,1742.0
6:49.0, ,79-64,M. Thybulle makes 2-pt layup from 2 ft (assist by J. Grant),,3,79,64,15,1751.0
6:36.0,J. Brown misses 3-pt jump shot from 23 ft,79-64, ,,3,79,64,15,1764.0
6:33.0, ,79-64,Defensive rebound by J. Grant,,3,79,64,15,1767.0
6:22.0, ,79-66,D. Ayton makes 2-pt jump shot from 12 ft (assist by J. Grant),,3,79,66,13,1778.0
5:59.0,P. Pritchard misses 3-pt jump shot from 26 ft,79-66, ,,3,79,66,13,1801.0
5:56.0, ,79-66,Defensive rebound by D. Ayton,,3,79,66,13,1804.0
5:46.0, ,79-66,A. Simons misses 3-pt jump shot from 23 ft,,3,79,66,13,1814.0
5:46.0,Defensive rebound by P. Pritchard,79-66, ,,3,79,66,13,1814.0
